id,sourceid,targetid,relation,prefixrelation
1,N1692012805,B034,mentions,ekc:mentions
2,N1692032706,B058,mentions,ekc:mentions
3,N1692112902,B003,mentions,ekc:mentions
4,N1693072504,B030,mentions,ekc:mentions
5,N1693122504,B030,mentions,ekc:mentions
6,N1694011202,B061,mentions,ekc:mentions
7,N1694022801,B020,mentions,ekc:mentions
8,N1694052902,B020,mentions,ekc:mentions
9,N1694060804,B038,mentions,ekc:mentions
10,N1694070503,B008,mentions,ekc:mentions
11,N1694070503,B031,mentions,ekc:mentions
12,N1694071803,B038,mentions,ekc:mentions
13,N1694072105,B024,mentions,ekc:mentions
14,N1694110501,B016,mentions,ekc:mentions
15,N1694122006,B016,mentions,ekc:mentions
16,N1695010102,B016,mentions,ekc:mentions
17,N1695012602,B025,mentions,ekc:mentions
18,N1695012602,B048,mentions,ekc:mentions
19,N1695040605,B052,mentions,ekc:mentions
20,N1695040605,B002,mentions,ekc:mentions
21,N1695070702,B014,mentions,ekc:mentions
22,N1695070702,B015,mentions,ekc:mentions
23,N1695091006,B009,mentions,ekc:mentions
24,N1695091006,B031,mentions,ekc:mentions
25,N1695091006,B023,mentions,ekc:mentions
26,N1695091006,B050,mentions,ekc:mentions
27,N1695091006,B059,mentions,ekc:mentions
28,N1695112101,B044,mentions,ekc:mentions
29,N1696012802,B028,mentions,ekc:mentions
30,N1696021405,B054,mentions,ekc:mentions
31,N1696021700,B017,mentions,ekc:mentions
32,N1696042103,B053,mentions,ekc:mentions
33,N1696050604,B004,mentions,ekc:mentions
34,N1696050604,B011,mentions,ekc:mentions
35,N1696050604,B019,mentions,ekc:mentions
36,N1696050604,B032,mentions,ekc:mentions
37,N1696050604,B041,mentions,ekc:mentions
38,N1696050702,B006,mentions,ekc:mentions
39,N1696050702,B022,mentions,ekc:mentions
40,N1696050702,B035,mentions,ekc:mentions
41,N1696050702,B039,mentions,ekc:mentions
42,N1696050702,B042,mentions,ekc:mentions
43,N1696050702,B043,mentions,ekc:mentions
44,N1696050702,B045,mentions,ekc:mentions
45,N1696050702,B056,mentions,ekc:mentions
46,N1696050800,B025,mentions,ekc:mentions
47,N1696050800,B027,mentions,ekc:mentions
48,N1696050800,B033,mentions,ekc:mentions
49,N1696050800,B047,mentions,ekc:mentions
50,N1696050901,B001,mentions,ekc:mentions
51,N1696050901,B007,mentions,ekc:mentions
52,N1696050901,B029,mentions,ekc:mentions
53,N1696050901,B035,mentions,ekc:mentions
54,N1696050901,B061,mentions,ekc:mentions
55,N1696050902,B035,mentions,ekc:mentions
56,N1696051000,B012,mentions,ekc:mentions
57,N1696051000,B026,mentions,ekc:mentions
58,N1696051000,B037,mentions,ekc:mentions
59,N1696051000,B046,mentions,ekc:mentions
60,N1696051000,B051,mentions,ekc:mentions
61,N1696051000,B060,mentions,ekc:mentions
62,N1696051000,B062,mentions,ekc:mentions
63,N1697031704L,B063,mentions,ekc:mentions
64,N1697051805,B051,mentions,ekc:mentions
65,N1697060805,B010,mentions,ekc:mentions
66,N1697092601,B021,mentions,ekc:mentions
67,N1697101303,B049,mentions,ekc:mentions
68,N1697101802,B038,mentions,ekc:mentions
69,N1697110605,B040,mentions,ekc:mentions
70,N1698021505,B036,mentions,ekc:mentions
71,N1698030406,B003,mentions,ekc:mentions
72,N1698030406,B038,mentions,ekc:mentions
73,N1698041904,B005,mentions,ekc:mentions
74,N1698052303,B030,mentions,ekc:mentions
75,N1698060902,B057,mentions,ekc:mentions
76,N1698101102,B052,mentions,ekc:mentions
77,N1698101301,B064,mentions,ekc:mentions
78,N1698122703,B055,mentions,ekc:mentions
79,N1698122704,B055,mentions,ekc:mentions
80,N1698122705,B055,mentions,ekc:mentions
81,N1699012401,B003,mentions,ekc:mentions
82,N1699012401,B018,mentions,ekc:mentions
83,N1699021905,B013,mentions,ekc:mentions
84,N1699021905,B018,mentions,ekc:mentions
