id,sourceid,targetid,relation,prefixrelation
1,N1692010101,D16920101,isElementOf,jad:isElementOf
2,N1692010102,D16920101,isElementOf,jad:isElementOf
3,N1692010103,D16920101,isElementOf,jad:isElementOf
4,N1692010104,D16920101,isElementOf,jad:isElementOf
5,N1692010601,D16920106,isElementOf,jad:isElementOf
6,N1692010602,D16920106,isElementOf,jad:isElementOf
7,N1692010603,D16920106,isElementOf,jad:isElementOf
8,N1692010700,D16920107,isElementOf,jad:isElementOf
9,N1692010801,D16920108,isElementOf,jad:isElementOf
10,N1692010802,D16920108,isElementOf,jad:isElementOf
11,N1692010803,D16920108,isElementOf,jad:isElementOf
12,N1692010804,D16920108,isElementOf,jad:isElementOf
13,N1692010900,D16920109,isElementOf,jad:isElementOf
14,N1692011001,D16920110,isElementOf,jad:isElementOf
15,N1692011002,D16920110,isElementOf,jad:isElementOf
16,N1692011003,D16920110,isElementOf,jad:isElementOf
17,N1692011100,D16920111,isElementOf,jad:isElementOf
18,N1692011701,D16920117,isElementOf,jad:isElementOf
19,N1692011702,D16920117,isElementOf,jad:isElementOf
20,N1692011800,D16920118,isElementOf,jad:isElementOf
21,N1692011901,D16920119,isElementOf,jad:isElementOf
22,N1692011902,D16920119,isElementOf,jad:isElementOf
23,N1692011903,D16920119,isElementOf,jad:isElementOf
24,N1692012001,D16920120,isElementOf,jad:isElementOf
25,N1692012002,D16920120,isElementOf,jad:isElementOf
26,N1692012101,D16920121,isElementOf,jad:isElementOf
27,N1692012102,D16920121,isElementOf,jad:isElementOf
28,N1692012201,D16920122,isElementOf,jad:isElementOf
29,N1692012202,D16920122,isElementOf,jad:isElementOf
30,N1692012301,D16920123,isElementOf,jad:isElementOf
31,N1692012302,D16920123,isElementOf,jad:isElementOf
32,N1692012303,D16920123,isElementOf,jad:isElementOf
33,N1692012401,D16920124,isElementOf,jad:isElementOf
34,N1692012402,D16920124,isElementOf,jad:isElementOf
35,N1692012501,D16920125,isElementOf,jad:isElementOf
36,N1692012502,D16920125,isElementOf,jad:isElementOf
37,N1692012601,D16920126,isElementOf,jad:isElementOf
38,N1692012602,D16920126,isElementOf,jad:isElementOf
39,N1692012701,D16920127,isElementOf,jad:isElementOf
40,N1692012702,D16920127,isElementOf,jad:isElementOf
41,N1692012703,D16920127,isElementOf,jad:isElementOf
42,N1692012801,D16920128,isElementOf,jad:isElementOf
43,N1692012802,D16920128,isElementOf,jad:isElementOf
44,N1692012803,D16920128,isElementOf,jad:isElementOf
45,N1692012804,D16920128,isElementOf,jad:isElementOf
46,N1692012805,D16920128,isElementOf,jad:isElementOf
47,N1692012901,D16920129,isElementOf,jad:isElementOf
48,N1692012902,D16920129,isElementOf,jad:isElementOf
49,N1692013001,D16920130,isElementOf,jad:isElementOf
50,N1692013002,D16920130,isElementOf,jad:isElementOf
51,N1692020101,D16920201,isElementOf,jad:isElementOf
52,N1692020102,D16920201,isElementOf,jad:isElementOf
53,N1692020103,D16920201,isElementOf,jad:isElementOf
54,N1692020104,D16920201,isElementOf,jad:isElementOf
55,N1692020401,D16920204,isElementOf,jad:isElementOf
56,N1692020402,D16920204,isElementOf,jad:isElementOf
57,N1692020403,D16920204,isElementOf,jad:isElementOf
58,N1692020501,D16920205,isElementOf,jad:isElementOf
59,N1692020502,D16920205,isElementOf,jad:isElementOf
60,N1692020503,D16920205,isElementOf,jad:isElementOf
61,N1692020701,D16920207,isElementOf,jad:isElementOf
62,N1692020702,D16920207,isElementOf,jad:isElementOf
63,N1692020703,D16920207,isElementOf,jad:isElementOf
64,N1692020704,D16920207,isElementOf,jad:isElementOf
65,N1692020801,D16920208,isElementOf,jad:isElementOf
66,N1692020802,D16920208,isElementOf,jad:isElementOf
67,N1692021501,D16920215,isElementOf,jad:isElementOf
68,N1692021502,D16920215,isElementOf,jad:isElementOf
69,N1692021503,D16920215,isElementOf,jad:isElementOf
70,N1692021601,D16920216,isElementOf,jad:isElementOf
71,N1692021602,D16920216,isElementOf,jad:isElementOf
72,N1692021801,D16920218,isElementOf,jad:isElementOf
73,N1692021802,D16920218,isElementOf,jad:isElementOf
74,N1692021901,D16920219,isElementOf,jad:isElementOf
75,N1692021902,D16920219,isElementOf,jad:isElementOf
76,N1692021903,D16920219,isElementOf,jad:isElementOf
77,N1692021904,D16920219,isElementOf,jad:isElementOf
78,N1692022200,D16920222,isElementOf,jad:isElementOf
79,N1692022300,D16920223,isElementOf,jad:isElementOf
80,N1692022401,D16920224,isElementOf,jad:isElementOf
81,N1692022402,D16920224,isElementOf,jad:isElementOf
82,N1692022501,D16920225,isElementOf,jad:isElementOf
83,N1692022502,D16920225,isElementOf,jad:isElementOf
84,N1692022503,D16920225,isElementOf,jad:isElementOf
85,N1692022504,D16920225,isElementOf,jad:isElementOf
86,N1692022601,D16920226,isElementOf,jad:isElementOf
87,N1692022602,D16920226,isElementOf,jad:isElementOf
88,N1692022603,D16920226,isElementOf,jad:isElementOf
89,N1692022604,D16920226,isElementOf,jad:isElementOf
90,N1692022701,D16920227,isElementOf,jad:isElementOf
91,N1692022702,D16920227,isElementOf,jad:isElementOf
92,N1692022801,D16920228,isElementOf,jad:isElementOf
93,N1692022802,D16920228,isElementOf,jad:isElementOf
94,N1692022901,D16920229,isElementOf,jad:isElementOf
95,N1692022902,D16920229,isElementOf,jad:isElementOf
96,N1692022903,D16920229,isElementOf,jad:isElementOf
97,N1692030100,D16920301,isElementOf,jad:isElementOf
98,N1692030501,D16920305,isElementOf,jad:isElementOf
99,N1692030502,D16920305,isElementOf,jad:isElementOf
100,N1692030503,D16920305,isElementOf,jad:isElementOf
101,N1692030504,D16920305,isElementOf,jad:isElementOf
102,N1692030505,D16920305,isElementOf,jad:isElementOf
103,N1692030506,D16920305,isElementOf,jad:isElementOf
104,N1692030507,D16920305,isElementOf,jad:isElementOf
105,N1692030601,D16920306,isElementOf,jad:isElementOf
106,N1692030602,D16920306,isElementOf,jad:isElementOf
107,N1692030603,D16920306,isElementOf,jad:isElementOf
108,N1692030604,D16920306,isElementOf,jad:isElementOf
109,N1692030701,D16920307,isElementOf,jad:isElementOf
110,N1692030702,D16920307,isElementOf,jad:isElementOf
111,N1692030703,D16920307,isElementOf,jad:isElementOf
112,N1692030704,D16920307,isElementOf,jad:isElementOf
113,N1692030801,D16920308,isElementOf,jad:isElementOf
114,N1692030802,D16920308,isElementOf,jad:isElementOf
115,N1692030803,D16920308,isElementOf,jad:isElementOf
116,N1692030804,D16920308,isElementOf,jad:isElementOf
117,N1692030805,D16920308,isElementOf,jad:isElementOf
118,N1692030901,D16920309,isElementOf,jad:isElementOf
119,N1692030902,D16920309,isElementOf,jad:isElementOf
120,N1692030903,D16920309,isElementOf,jad:isElementOf
121,N1692031101,D16920311,isElementOf,jad:isElementOf
122,N1692031102,D16920311,isElementOf,jad:isElementOf
123,N1692031200,D16920312,isElementOf,jad:isElementOf
124,N1692031301,D16920313,isElementOf,jad:isElementOf
125,N1692031302,D16920313,isElementOf,jad:isElementOf
126,N1692031303,D16920313,isElementOf,jad:isElementOf
127,N1692031304,D16920313,isElementOf,jad:isElementOf
128,N1692031401,D16920314,isElementOf,jad:isElementOf
129,N1692031402,D16920314,isElementOf,jad:isElementOf
130,N1692031403,D16920314,isElementOf,jad:isElementOf
131,N1692031501,D16920315,isElementOf,jad:isElementOf
