id,sourceid,targetid,relation,prefixrelation
1,N1692010101,N1692010102,isAheadOf,jad:isAheadOf
2,N1692010102,N1692010103,isAheadOf,jad:isAheadOf
3,N1692010103,N1692010104,isAheadOf,jad:isAheadOf
4,N1692010104,N1692010601,isAheadOf,jad:isAheadOf
5,N1692010601,N1692010602,isAheadOf,jad:isAheadOf
6,N1692010602,N1692010603,isAheadOf,jad:isAheadOf
7,N1692010603,N1692010700,isAheadOf,jad:isAheadOf
8,N1692010700,N1692010801,isAheadOf,jad:isAheadOf
9,N1692010801,N1692010802,isAheadOf,jad:isAheadOf
10,N1692010802,N1692010803,isAheadOf,jad:isAheadOf
11,N1692010803,N1692010804,isAheadOf,jad:isAheadOf
12,N1692010804,N1692010900,isAheadOf,jad:isAheadOf
13,N1692010900,N1692011001,isAheadOf,jad:isAheadOf
14,N1692011001,N1692011002,isAheadOf,jad:isAheadOf
15,N1692011002,N1692011003,isAheadOf,jad:isAheadOf
16,N1692011003,N1692011100,isAheadOf,jad:isAheadOf
17,N1692011100,N1692011701,isAheadOf,jad:isAheadOf
18,N1692011701,N1692011702,isAheadOf,jad:isAheadOf
19,N1692011702,N1692011800,isAheadOf,jad:isAheadOf
20,N1692011800,N1692011901,isAheadOf,jad:isAheadOf
21,N1692011901,N1692011902,isAheadOf,jad:isAheadOf
22,N1692011902,N1692011903,isAheadOf,jad:isAheadOf
23,N1692011903,N1692012001,isAheadOf,jad:isAheadOf
24,N1692012001,N1692012002,isAheadOf,jad:isAheadOf
25,N1692012002,N1692012101,isAheadOf,jad:isAheadOf
26,N1692012101,N1692012102,isAheadOf,jad:isAheadOf
27,N1692012102,N1692012201,isAheadOf,jad:isAheadOf
28,N1692012201,N1692012202,isAheadOf,jad:isAheadOf
29,N1692012202,N1692012301,isAheadOf,jad:isAheadOf
30,N1692012301,N1692012302,isAheadOf,jad:isAheadOf
31,N1692012302,N1692012303,isAheadOf,jad:isAheadOf
32,N1692012303,N1692012401,isAheadOf,jad:isAheadOf
33,N1692012401,N1692012402,isAheadOf,jad:isAheadOf
34,N1692012402,N1692012501,isAheadOf,jad:isAheadOf
35,N1692012501,N1692012502,isAheadOf,jad:isAheadOf
36,N1692012502,N1692012601,isAheadOf,jad:isAheadOf
37,N1692012601,N1692012602,isAheadOf,jad:isAheadOf
38,N1692012602,N1692012701,isAheadOf,jad:isAheadOf
39,N1692012701,N1692012702,isAheadOf,jad:isAheadOf
40,N1692012702,N1692012703,isAheadOf,jad:isAheadOf
41,N1692012703,N1692012801,isAheadOf,jad:isAheadOf
42,N1692012801,N1692012802,isAheadOf,jad:isAheadOf
43,N1692012802,N1692012803,isAheadOf,jad:isAheadOf
44,N1692012803,N1692012804,isAheadOf,jad:isAheadOf
45,N1692012804,N1692012805,isAheadOf,jad:isAheadOf
46,N1692012805,N1692012901,isAheadOf,jad:isAheadOf
47,N1692012901,N1692012902,isAheadOf,jad:isAheadOf
48,N1692012902,N1692013001,isAheadOf,jad:isAheadOf
49,N1692013001,N1692013002,isAheadOf,jad:isAheadOf
50,N1692013002,N1692020101,isAheadOf,jad:isAheadOf
51,N1692020101,N1692020102,isAheadOf,jad:isAheadOf
52,N1692020102,N1692020103,isAheadOf,jad:isAheadOf
53,N1692020103,N1692020104,isAheadOf,jad:isAheadOf
