id,sourceid,targetid,relation,prefixrelation
883,N1692010802,E16920108,isRecordOf,jad:isRecordOf
884,N1692012101,E16920108,isRecordOf,jad:isRecordOf
885,N1692012102,E16920108,isRecordOf,jad:isRecordOf
886,N1692012202,E16920108,isRecordOf,jad:isRecordOf
887,N1692012301,E16920108,isRecordOf,jad:isRecordOf
888,N1692012402,E16920124,isRecordOf,jad:isRecordOf
889,N1692012501,E16920124,isRecordOf,jad:isRecordOf
890,N1692012703,E16920124,isRecordOf,jad:isRecordOf
891,N1692012804,E16920124,isRecordOf,jad:isRecordOf
892,N1692020402,E16920204,isRecordOf,jad:isRecordOf
893,N1692020403,E16920124,isRecordOf,jad:isRecordOf
894,N1692022504,E16920225,isRecordOf,jad:isRecordOf
895,N1692022603,E16920204,isRecordOf,jad:isRecordOf
896,N1692030805,E16920225,isRecordOf,jad:isRecordOf
897,N1692031402,E16920225,isRecordOf,jad:isRecordOf
898,N1692031503,E16920225,isRecordOf,jad:isRecordOf
899,N1692031901,E16920319,isRecordOf,jad:isRecordOf
900,N1692031903,E16920225,isRecordOf,jad:isRecordOf
901,N1692032002,E16920319,isRecordOf,jad:isRecordOf
902,N1692032100,E16920319,isRecordOf,jad:isRecordOf
903,N1692032201,E16920319,isRecordOf,jad:isRecordOf
904,N1692032203,E16920124,isRecordOf,jad:isRecordOf
905,N1692032301,E16920319,isRecordOf,jad:isRecordOf
906,N1692032303,E16920204,isRecordOf,jad:isRecordOf
907,N1692032402,E16920319,isRecordOf,jad:isRecordOf
908,N1692032503,E16920319,isRecordOf,jad:isRecordOf
909,N1692032601,E16920319,isRecordOf,jad:isRecordOf
910,N1692032701,E16920319,isRecordOf,jad:isRecordOf
911,N1692032703,E16920204,isRecordOf,jad:isRecordOf
912,N1692032704,E16920319,isRecordOf,jad:isRecordOf
913,N1692032802,E16920328,isRecordOf,jad:isRecordOf
914,N1692032904,E16920204,isRecordOf,jad:isRecordOf
915,N1692032905,E16920319,isRecordOf,jad:isRecordOf
916,N1692033002,E16920204,isRecordOf,jad:isRecordOf
917,N1692040301,E16920204,isRecordOf,jad:isRecordOf
918,N1692040302,E16920204,isRecordOf,jad:isRecordOf
919,N1692040401,E16920328,isRecordOf,jad:isRecordOf
920,N1692040602,E16920319,isRecordOf,jad:isRecordOf
921,N1692040603,E16920319,isRecordOf,jad:isRecordOf
922,N1692040701,E16920319,isRecordOf,jad:isRecordOf
923,N1692040705,E16920319,isRecordOf,jad:isRecordOf
924,N1692040801,E16920319,isRecordOf,jad:isRecordOf
925,N1692040901,E16920319,isRecordOf,jad:isRecordOf
926,N1692041001,E16920319,isRecordOf,jad:isRecordOf
927,N1692041003,E16920124,isRecordOf,jad:isRecordOf
928,N1692041101,E16920319,isRecordOf,jad:isRecordOf
929,N1692041104,E16920328,isRecordOf,jad:isRecordOf
930,N1692041201,E16920328,isRecordOf,jad:isRecordOf
931,N1692041203,E16920328,isRecordOf,jad:isRecordOf
932,N1692041301,E16920319,isRecordOf,jad:isRecordOf
933,N1692041401,E16920319,isRecordOf,jad:isRecordOf
934,N1692041801,E16920328,isRecordOf,jad:isRecordOf
935,N1692041902,E16920419,isRecordOf,jad:isRecordOf
936,N1692042102,E16920328,isRecordOf,jad:isRecordOf
937,N1692042202,E16920328,isRecordOf,jad:isRecordOf
938,N1692042401,E16920328,isRecordOf,jad:isRecordOf
939,N1692042500,E16920328,isRecordOf,jad:isRecordOf
940,N1692042803,E16920328,isRecordOf,jad:isRecordOf
941,N1692042901,E16920328,isRecordOf,jad:isRecordOf
942,N1692042904,E16920328,isRecordOf,jad:isRecordOf
943,N1692043003,E16920419,isRecordOf,jad:isRecordOf
944,N1692050101,E16920419,isRecordOf,jad:isRecordOf
945,N1692050201,E16920419,isRecordOf,jad:isRecordOf
946,N1692050301,E16920419,isRecordOf,jad:isRecordOf
947,N1692050302,E16920319,isRecordOf,jad:isRecordOf
948,N1692050804,E16920508,isRecordOf,jad:isRecordOf
949,N1692050900,E16920508,isRecordOf,jad:isRecordOf
950,N1692051001,E16920508,isRecordOf,jad:isRecordOf
951,N1692051002,E16920508,isRecordOf,jad:isRecordOf
952,N1692051101,E16920508,isRecordOf,jad:isRecordOf
953,N1692051103,E16920511,isRecordOf,jad:isRecordOf
954,N1692051201,E16920511,isRecordOf,jad:isRecordOf
955,N1692051202,E16920419,isRecordOf,jad:isRecordOf
956,N1692051305,E16920419,isRecordOf,jad:isRecordOf
957,N1692051701,E16920204,isRecordOf,jad:isRecordOf
958,N1692051705,E16920124,isRecordOf,jad:isRecordOf
959,N1692051802,E16920419,isRecordOf,jad:isRecordOf
960,N1692051803,E16920419,isRecordOf,jad:isRecordOf
961,N1692052102,E16920419,isRecordOf,jad:isRecordOf
962,N1692052801,E16920328,isRecordOf,jad:isRecordOf
963,N1692060100,E16920419,isRecordOf,jad:isRecordOf
964,N1692062501,E16920625,isRecordOf,jad:isRecordOf
965,N1692070407,E16920328,isRecordOf,jad:isRecordOf
966,N1692070806,E16920328,isRecordOf,jad:isRecordOf
967,N1692071301,E16920328,isRecordOf,jad:isRecordOf
968,N1692071806,E16920124,isRecordOf,jad:isRecordOf
969,N1692072303,E16920328,isRecordOf,jad:isRecordOf
970,N1692072403,E16920328,isRecordOf,jad:isRecordOf
971,N1692072604,E16920328,isRecordOf,jad:isRecordOf
972,N1692072701,E16920328,isRecordOf,jad:isRecordOf
973,N1692072906,E16920328,isRecordOf,jad:isRecordOf
974,N1692080902,E16920419,isRecordOf,jad:isRecordOf
975,N1692081000,E16920419,isRecordOf,jad:isRecordOf
976,N1692081802,E16920419,isRecordOf,jad:isRecordOf
977,N1692081904,E16920419,isRecordOf,jad:isRecordOf
978,N1692082704,E16920328,isRecordOf,jad:isRecordOf
979,N1692090402,E16920904,isRecordOf,jad:isRecordOf
980,N1692090405,E16920904,isRecordOf,jad:isRecordOf
981,N1692090902,E16920904,isRecordOf,jad:isRecordOf
982,N1692091002,E16920904,isRecordOf,jad:isRecordOf
983,N1692091402,E16920904,isRecordOf,jad:isRecordOf
984,N1692091501,E16920904,isRecordOf,jad:isRecordOf
985,N1692091502,E16920904,isRecordOf,jad:isRecordOf
986,N1692091503,E16920904,isRecordOf,jad:isRecordOf
987,N1692091601,E16920904,isRecordOf,jad:isRecordOf
988,N1692092002,E16920920,isRecordOf,jad:isRecordOf
989,N1692092105,E16920328,isRecordOf,jad:isRecordOf
990,N1692092301,E16920328,isRecordOf,jad:isRecordOf
991,N1692092302,E16920328,isRecordOf,jad:isRecordOf
992,N1692092901,E16920920,isRecordOf,jad:isRecordOf
993,N1692092902,E16920929,isRecordOf,jad:isRecordOf
994,N1692092903,E16920929,isRecordOf,jad:isRecordOf
995,N1692092904,E16920929,isRecordOf,jad:isRecordOf
996,N1692092905,E16920929,isRecordOf,jad:isRecordOf
997,N1692100101,E16920929,isRecordOf,jad:isRecordOf
998,N1692100102,E16920929,isRecordOf,jad:isRecordOf
999,N1692100801,E16920319,isRecordOf,jad:isRecordOf
1000,N1692101101,E16920319,isRecordOf,jad:isRecordOf
1001,N1692101503,E16920319,isRecordOf,jad:isRecordOf
1002,N1692102303,E16920319,isRecordOf,jad:isRecordOf
1003,N1692102501,E16920319,isRecordOf,jad:isRecordOf
1004,N1692102702,E16920319,isRecordOf,jad:isRecordOf
1005,N1692110102,E16920328,isRecordOf,jad:isRecordOf
1006,N1692110400,E16920328,isRecordOf,jad:isRecordOf
1007,N1692110604,E16921106,isRecordOf,jad:isRecordOf
1008,N1692110802,E16921106,isRecordOf,jad:isRecordOf
1009,N1692111003,E16920328,isRecordOf,jad:isRecordOf
1010,N1692120402,E16921106,isRecordOf,jad:isRecordOf
1011,N1692122702,E16920419,isRecordOf,jad:isRecordOf
1012,N1692122703,E16920319,isRecordOf,jad:isRecordOf
1013,N1693011701,E16930117,isRecordOf,jad:isRecordOf
1014,N1693011702,E16930117,isRecordOf,jad:isRecordOf
1015,N1693011801,E16930117,isRecordOf,jad:isRecordOf
1016,N1693011802,E16930117,isRecordOf,jad:isRecordOf
1017,N1693011803,E16930117,isRecordOf,jad:isRecordOf
1018,N1693020301,E16920328,isRecordOf,jad:isRecordOf
1019,N1693020502,E16920328,isRecordOf,jad:isRecordOf
1020,N1693020603,E16920328,isRecordOf,jad:isRecordOf
1021,N1693020703,E16920328,isRecordOf,jad:isRecordOf
1022,N1693020805,E16920328,isRecordOf,jad:isRecordOf
1023,N1693020902,E16920328,isRecordOf,jad:isRecordOf
1024,N1693021000,E16920328,isRecordOf,jad:isRecordOf
1025,N1693021103,E16920328,isRecordOf,jad:isRecordOf
1026,N1693021200,E16920328,isRecordOf,jad:isRecordOf
1027,N1693021303,E16920328,isRecordOf,jad:isRecordOf
1028,N1693021404,E16920328,isRecordOf,jad:isRecordOf
1029,N1693021405,E16920328,isRecordOf,jad:isRecordOf
1030,N1693021502,E16930215,isRecordOf,jad:isRecordOf
1031,N1693021801,E16930215,isRecordOf,jad:isRecordOf
1032,N1693021804,E16920328,isRecordOf,jad:isRecordOf
1033,N1693021805,E16920328,isRecordOf,jad:isRecordOf
1034,N1693022005,E16920328,isRecordOf,jad:isRecordOf
