id,sourceid,targetid,relation,prefixrelation
1,N1692010101,T62,isRelatedTo,edm:isRelatedTo
2,N1692010102,T62,isRelatedTo,edm:isRelatedTo
3,N1692010102,T43,isRelatedTo,edm:isRelatedTo
4,N1692010103,T66,isRelatedTo,edm:isRelatedTo
5,N1692010104,T38,isRelatedTo,edm:isRelatedTo
6,N1692010104,T35,isRelatedTo,edm:isRelatedTo
7,N1692010603,T50,isRelatedTo,edm:isRelatedTo
8,N1692010603,T44,isRelatedTo,edm:isRelatedTo
9,N1692010700,T07,isRelatedTo,edm:isRelatedTo
10,N1692010801,T04,isRelatedTo,edm:isRelatedTo
11,N1692010802,T68,isRelatedTo,edm:isRelatedTo
12,N1692010802,T38,isRelatedTo,edm:isRelatedTo
13,N1692010802,T43,isRelatedTo,edm:isRelatedTo
14,N1692010803,T53,isRelatedTo,edm:isRelatedTo
15,N1692010803,T38,isRelatedTo,edm:isRelatedTo
16,N1692010803,T35,isRelatedTo,edm:isRelatedTo
17,N1692010900,T07,isRelatedTo,edm:isRelatedTo
18,N1692011001,T07,isRelatedTo,edm:isRelatedTo
19,N1692011002,T38,isRelatedTo,edm:isRelatedTo
20,N1692011002,T35,isRelatedTo,edm:isRelatedTo
21,N1692011003,T49,isRelatedTo,edm:isRelatedTo
22,N1692011100,T07,isRelatedTo,edm:isRelatedTo
23,N1692011701,T14,isRelatedTo,edm:isRelatedTo
24,N1692011800,T60,isRelatedTo,edm:isRelatedTo
25,N1692011901,T07,isRelatedTo,edm:isRelatedTo
26,N1692011903,T35,isRelatedTo,edm:isRelatedTo
27,N1692011903,T50,isRelatedTo,edm:isRelatedTo
28,N1692011903,T32,isRelatedTo,edm:isRelatedTo
29,N1692012001,T07,isRelatedTo,edm:isRelatedTo
30,N1692012002,T14,isRelatedTo,edm:isRelatedTo
31,N1692012101,T68,isRelatedTo,edm:isRelatedTo
32,N1692012102,T48,isRelatedTo,edm:isRelatedTo
33,N1692012201,T50,isRelatedTo,edm:isRelatedTo
34,N1692012202,T07,isRelatedTo,edm:isRelatedTo
35,N1692012301,T68,isRelatedTo,edm:isRelatedTo
36,N1692012302,T35,isRelatedTo,edm:isRelatedTo
37,N1692012303,T14,isRelatedTo,edm:isRelatedTo
38,N1692012501,T10,isRelatedTo,edm:isRelatedTo
39,N1692012502,T14,isRelatedTo,edm:isRelatedTo
40,N1692012502,T33,isRelatedTo,edm:isRelatedTo
41,N1692012601,T07,isRelatedTo,edm:isRelatedTo
42,N1692012602,T04,isRelatedTo,edm:isRelatedTo
43,N1692012701,T07,isRelatedTo,edm:isRelatedTo
44,N1692012702,T04,isRelatedTo,edm:isRelatedTo
45,N1692012703,T10,isRelatedTo,edm:isRelatedTo
46,N1692012703,T65,isRelatedTo,edm:isRelatedTo
47,N1692012801,T07,isRelatedTo,edm:isRelatedTo
48,N1692012802,T60,isRelatedTo,edm:isRelatedTo
49,N1692012803,T14,isRelatedTo,edm:isRelatedTo
50,N1692012803,T50,isRelatedTo,edm:isRelatedTo
51,N1692012804,T35,isRelatedTo,edm:isRelatedTo
52,N1692012805,T01,isRelatedTo,edm:isRelatedTo
53,N1692012805,T38,isRelatedTo,edm:isRelatedTo
54,N1692012805,T24,isRelatedTo,edm:isRelatedTo
55,N1692012805,T22,isRelatedTo,edm:isRelatedTo
56,N1692012901,T07,isRelatedTo,edm:isRelatedTo
57,N1692012902,T07,isRelatedTo,edm:isRelatedTo
58,N1692012902,T28,isRelatedTo,edm:isRelatedTo
59,N1692013001,T07,isRelatedTo,edm:isRelatedTo
60,N1692013002,T14,isRelatedTo,edm:isRelatedTo
61,N1692020101,T07,isRelatedTo,edm:isRelatedTo
62,N1692020102,T60,isRelatedTo,edm:isRelatedTo
63,N1692020103,T14,isRelatedTo,edm:isRelatedTo
64,N1692020104,T04,isRelatedTo,edm:isRelatedTo
65,N1692020401,T34,isRelatedTo,edm:isRelatedTo
66,N1692020401,T10,isRelatedTo,edm:isRelatedTo
67,N1692020401,T01,isRelatedTo,edm:isRelatedTo
68,N1692020401,T50,isRelatedTo,edm:isRelatedTo
69,N1692020403,T35,isRelatedTo,edm:isRelatedTo
70,N1692020501,T04,isRelatedTo,edm:isRelatedTo
71,N1692020502,T55,isRelatedTo,edm:isRelatedTo
72,N1692020503,T14,isRelatedTo,edm:isRelatedTo
73,N1692020503,T50,isRelatedTo,edm:isRelatedTo
74,N1692020701,T04,isRelatedTo,edm:isRelatedTo
75,N1692020702,T14,isRelatedTo,edm:isRelatedTo
76,N1692020703,T55,isRelatedTo,edm:isRelatedTo
77,N1692020704,T14,isRelatedTo,edm:isRelatedTo
78,N1692020801,T56,isRelatedTo,edm:isRelatedTo
79,N1692020802,T04,isRelatedTo,edm:isRelatedTo
80,N1692020802,T22,isRelatedTo,edm:isRelatedTo
81,N1692021501,T14,isRelatedTo,edm:isRelatedTo
82,N1692021502,T14,isRelatedTo,edm:isRelatedTo
83,N1692021502,T25,isRelatedTo,edm:isRelatedTo
84,N1692021502,T48,isRelatedTo,edm:isRelatedTo
85,N1692021502,T10,isRelatedTo,edm:isRelatedTo
86,N1692021503,T53,isRelatedTo,edm:isRelatedTo
87,N1692021501,T07,isRelatedTo,edm:isRelatedTo
88,N1692021501,T68,isRelatedTo,edm:isRelatedTo
89,N1692021502,T01,isRelatedTo,edm:isRelatedTo
90,N1692021801,T01,isRelatedTo,edm:isRelatedTo
91,N1692021802,T01,isRelatedTo,edm:isRelatedTo
92,N1692021802,T60,isRelatedTo,edm:isRelatedTo
93,N1692021901,T53,isRelatedTo,edm:isRelatedTo
94,N1692021902,T35,isRelatedTo,edm:isRelatedTo
95,N1692021903,T14,isRelatedTo,edm:isRelatedTo
96,N1692021903,T50,isRelatedTo,edm:isRelatedTo
97,N1692021904,T35,isRelatedTo,edm:isRelatedTo
98,N1692021904,T50,isRelatedTo,edm:isRelatedTo
99,N1692021904,T32,isRelatedTo,edm:isRelatedTo
100,N1692022300,T36,isRelatedTo,edm:isRelatedTo
101,N1692022300,T01,isRelatedTo,edm:isRelatedTo
102,N1692022401,T04,isRelatedTo,edm:isRelatedTo
103,N1692022402,T14,isRelatedTo,edm:isRelatedTo
104,N1692022501,T07,isRelatedTo,edm:isRelatedTo
105,N1692022502,T07,isRelatedTo,edm:isRelatedTo
106,N1692022503,T04,isRelatedTo,edm:isRelatedTo
107,N1692022504,T10,isRelatedTo,edm:isRelatedTo
108,N1692022601,T04,isRelatedTo,edm:isRelatedTo
109,N1692022602,T07,isRelatedTo,edm:isRelatedTo
110,N1692022603,T07,isRelatedTo,edm:isRelatedTo
111,N1692022603,T54,isRelatedTo,edm:isRelatedTo
112,N1692022604,T07,isRelatedTo,edm:isRelatedTo
113,N1692022604,T04,isRelatedTo,edm:isRelatedTo
114,N1692022701,T60,isRelatedTo,edm:isRelatedTo
115,N1692022702,T55,isRelatedTo,edm:isRelatedTo
116,N1692022801,T60,isRelatedTo,edm:isRelatedTo
117,N1692022802,T14,isRelatedTo,edm:isRelatedTo
118,N1692022901,T04,isRelatedTo,edm:isRelatedTo
119,N1692022902,T42,isRelatedTo,edm:isRelatedTo
120,N1692022903,T14,isRelatedTo,edm:isRelatedTo
121,N1692030100,T38,isRelatedTo,edm:isRelatedTo
122,N1692030100,T01,isRelatedTo,edm:isRelatedTo
123,N1692030501,T01,isRelatedTo,edm:isRelatedTo
124,N1692030501,T60,isRelatedTo,edm:isRelatedTo
125,N1692030502,T25,isRelatedTo,edm:isRelatedTo
126,N1692030503,T14,isRelatedTo,edm:isRelatedTo
127,N1692030504,T50,isRelatedTo,edm:isRelatedTo
128,N1692030504,T53,isRelatedTo,edm:isRelatedTo
129,N1692030505,T25,isRelatedTo,edm:isRelatedTo
130,N1692030505,T57,isRelatedTo,edm:isRelatedTo
131,N1692030506,T25,isRelatedTo,edm:isRelatedTo
132,N1692030507,T57,isRelatedTo,edm:isRelatedTo
133,N1692030507,T45,isRelatedTo,edm:isRelatedTo
134,N1692030601,T68,isRelatedTo,edm:isRelatedTo
135,N1692030601,T25,isRelatedTo,edm:isRelatedTo
136,N1692030602,T68,isRelatedTo,edm:isRelatedTo
137,N1692030602,T14,isRelatedTo,edm:isRelatedTo
138,N1692030603,T68,isRelatedTo,edm:isRelatedTo
139,N1692030603,T14,isRelatedTo,edm:isRelatedTo
140,N1692030604,T68,isRelatedTo,edm:isRelatedTo
141,N1692030604,T01,isRelatedTo,edm:isRelatedTo
142,N1692030604,T60,isRelatedTo,edm:isRelatedTo
143,N1692030604,T48,isRelatedTo,edm:isRelatedTo
144,N1692030701,T68,isRelatedTo,edm:isRelatedTo
145,N1692030702,T01,isRelatedTo,edm:isRelatedTo
146,N1692030702,T60,isRelatedTo,edm:isRelatedTo
147,N1692030703,T14,isRelatedTo,edm:isRelatedTo
148,N1692030704,T14,isRelatedTo,edm:isRelatedTo
149,N1692030704,T52,isRelatedTo,edm:isRelatedTo
150,N1692030801,T01,isRelatedTo,edm:isRelatedTo
151,N1692030801,T60,isRelatedTo,edm:isRelatedTo
152,N1692030802,T04,isRelatedTo,edm:isRelatedTo
153,N1692030803,T14,isRelatedTo,edm:isRelatedTo
154,N1692030804,T10,isRelatedTo,edm:isRelatedTo
155,N1692030805,T25,isRelatedTo,edm:isRelatedTo
156,N1692030901,T14,isRelatedTo,edm:isRelatedTo
157,N1692030902,T14,isRelatedTo,edm:isRelatedTo
158,N1692031101,T38,isRelatedTo,edm:isRelatedTo
159,N1692031101,T01,isRelatedTo,edm:isRelatedTo
160,N1692031102,T35,isRelatedTo,edm:isRelatedTo
161,N1692031102,T50,isRelatedTo,edm:isRelatedTo
162,N1692031102,T32,isRelatedTo,edm:isRelatedTo
163,N1692031200,T14,isRelatedTo,edm:isRelatedTo
164,N1692031301,T04,isRelatedTo,edm:isRelatedTo
165,N1692031302,T38,isRelatedTo,edm:isRelatedTo
166,N1692031303,T35,isRelatedTo,edm:isRelatedTo
167,N1692031304,T35,isRelatedTo,edm:isRelatedTo
168,N1692031304,T06,isRelatedTo,edm:isRelatedTo
169,N1692031401,T14,isRelatedTo,edm:isRelatedTo
170,N1692031402,T14,isRelatedTo,edm:isRelatedTo
171,N1692031403,T14,isRelatedTo,edm:isRelatedTo
172,N1692031501,T16,isRelatedTo,edm:isRelatedTo
173,N1692031502,T14,isRelatedTo,edm:isRelatedTo
174,N1692031503,T25,isRelatedTo,edm:isRelatedTo
