id,sourceid,targetid,relation,prefixrelation
1,N1692012805,R1692012800,includes,jad:includes
2,N1692020802,R1692020800,includes,jad:includes
3,N1692032706,R1692032701,includes,jad:includes
4,N1692032706,R1692032702,includes,jad:includes
5,N1692032706,R1692032703,includes,jad:includes
6,N1692032706,R1692032704,includes,jad:includes
7,N1692111803,R1692111800,sameAs,owl:sameAs
8,N1692122003,R1692122000,includes,jad:includes
9,N1693011602,R1693011600,includes,jad:includes
10,N1693012700,R1693012700,includes,jad:includes
11,N1693050303,R1693050300,sameAs,owl:sameAs
12,N1693052004,R1693052001,includes,jad:includes
13,N1693052004,R1693052002,includes,jad:includes
14,N1693091102,R1693091100,includes,jad:includes
15,N1693101108,R1693101100,includes,jad:includes
16,N1694010805,R1694010800,includes,jad:includes
17,N1694021602,R1694021601,sameAs,owl:sameAs
18,N1694021603,R1694021602,sameAs,owl:sameAs
19,N1694031304,R1694031300,sameAs,owl:sameAs
20,N1694040604,R1694040600,sameAs,owl:sameAs
21,N1694050904L,R1694050900L,includes,jad:includes
22,N1694070503,R1694070500,sameAs,owl:sameAs
23,N1694072605,R1694072600,includes,jad:includes
24,N1694080704,R1694080700,sameAs,owl:sameAs
25,N1694080804,R1694080800,sameAs,owl:sameAs
26,N1694082303,R1694082300,sameAs,owl:sameAs
27,N1694122906,R1694122901,sameAs,owl:sameAs
28,N1694122907,R1694122902,sameAs,owl:sameAs
29,N1694122908,R1694122903,sameAs,owl:sameAs
30,N1694122909,R1694122904,sameAs,owl:sameAs
31,N1694122910,R1694122905,sameAs,owl:sameAs
32,N1694122911,R1694122906,sameAs,owl:sameAs
33,N1694122912,R1694122907,sameAs,owl:sameAs
34,N1694122913,R1694122908,sameAs,owl:sameAs
35,N1694122914,R1694122909,sameAs,owl:sameAs
36,N1694122915,R1694122910,sameAs,owl:sameAs
37,N1694122916,R1694122911,sameAs,owl:sameAs
38,N1694122917,R1694122912,sameAs,owl:sameAs
39,N1694122918,R1694122913,sameAs,owl:sameAs
40,N1694122919,R1694122914,sameAs,owl:sameAs
41,N1694122920,R1694122915,sameAs,owl:sameAs
42,N1694122921,R1694122916,sameAs,owl:sameAs
43,N1695012205,R1695012200,sameAs,owl:sameAs
44,N1695022403,R1695022400,includes,jad:includes
45,N1695040605,R1695040600,sameAs,owl:sameAs
46,N1695042902,R1695042901,includes,jad:includes
47,N1695042903,R1695042902,includes,jad:includes
48,N1695050703,R1695050700,includes,jad:includes
49,N1695051403,R1695051401,includes,jad:includes
50,N1695051403,R1695051402,includes,jad:includes
51,N1695051403,R1695051403,includes,jad:includes
52,N1695080204,R1695080200,sameAs,owl:sameAs
