id,sourceid,targetid,relation,prefixrelation
1,N1692020801,P0001,mentions,ekc:mentions
2,N1697062303,P0001,mentions,ekc:mentions
3,N1693060601,P0002,mentions,ekc:mentions
4,N1697121203,P0003,mentions,ekc:mentions
5,N1694072905,P0004,mentions,ekc:mentions
6,N1695021003,P0005,mentions,ekc:mentions
7,N1695021404,P0005,mentions,ekc:mentions
8,N1695050701,P0005,mentions,ekc:mentions
9,N1695072102,P0005,mentions,ekc:mentions
10,N1695072202,P0005,mentions,ekc:mentions
11,N1695111502,P0005,mentions,ekc:mentions
12,N1694082904,P0006,mentions,ekc:mentions
13,N1693112205,P0007,mentions,ekc:mentions
14,N1694011401,P0007,mentions,ekc:mentions
15,N1695021403,P0007,mentions,ekc:mentions
16,N1698052301,P0007,mentions,ekc:mentions
17,N1698111102,P0007,mentions,ekc:mentions
18,N1692011903,P0008,mentions,ekc:mentions
19,N1693102702,P0008,mentions,ekc:mentions
20,N1693102802,P0009,mentions,ekc:mentions
21,N1696011501,P0010,mentions,ekc:mentions
22,N1693081104,P0011,mentions,ekc:mentions
23,N1693102104,P0011,mentions,ekc:mentions
24,N1693102802,P0011,mentions,ekc:mentions
25,N1696011104,P0011,mentions,ekc:mentions
26,N1696052005,P0011,mentions,ekc:mentions
27,N1693092604,P0012,mentions,ekc:mentions
28,N1693110903,P0012,mentions,ekc:mentions
29,N1696042903,P0012,mentions,ekc:mentions
30,N1698111002,P0013,mentions,ekc:mentions
31,N1693071802,P0014,mentions,ekc:mentions
32,N1693080301,P0014,mentions,ekc:mentions
33,N1693121606,P0015,mentions,ekc:mentions
34,N1696050404,P0016,mentions,ekc:mentions
35,N1696072705,P0016,mentions,ekc:mentions
36,N1696080703,P0016,mentions,ekc:mentions
37,N1696081003,P0016,mentions,ekc:mentions
38,N1696082800,P0016,mentions,ekc:mentions
39,N1696090404,P0016,mentions,ekc:mentions
40,N1696122503,P0016,mentions,ekc:mentions
41,N1696122602,P0016,mentions,ekc:mentions
42,N1696122603,P0016,mentions,ekc:mentions
43,N1697030904L,P0016,mentions,ekc:mentions
44,N1697031407L,P0016,mentions,ekc:mentions
45,N1697041104,P0016,mentions,ekc:mentions
46,N1697121203,P0016,mentions,ekc:mentions
47,N1692032904,P0017,mentions,ekc:mentions
48,N1694082904,P0018,mentions,ekc:mentions
49,N1696042506,P0020,mentions,ekc:mentions
50,N1693081104,P0021,mentions,ekc:mentions
51,N1693102104,P0021,mentions,ekc:mentions
52,N1693102802,P0021,mentions,ekc:mentions
53,N1696052005,P0021,mentions,ekc:mentions
