id,sourceid,targetid,relation,prefixrelation
1,N1695092102,L001,mentions,ekc:mentions
2,N1695092101,L001,mentions,ekc:mentions
3,N1695092303,L001,mentions,ekc:mentions
4,N1695093004,L010,mentions,ekc:mentions
5,N1695093002,L010,mentions,ekc:mentions
6,N1696111106,L003,mentions,ekc:mentions
7,N1692012703,L004,mentions,ekc:mentions
8,N1692021602,L004,mentions,ekc:mentions
9,N1692030504,L005,mentions,ekc:mentions
10,N1698082603,L331,mentions,ekc:mentions
11,N1695030301,L766,mentions,ekc:mentions
12,N1697081501,L766,mentions,ekc:mentions
13,N1695040801,L766,mentions,ekc:mentions
14,N1696041901,L766,mentions,ekc:mentions
15,N1696050401,L006,mentions,ekc:mentions
16,N1696022202,L007,mentions,ekc:mentions
17,N1694040601,L008,mentions,ekc:mentions
18,N1694040602,L008,mentions,ekc:mentions
19,N1694040603,L008,mentions,ekc:mentions
20,N1692070502,L009,mentions,ekc:mentions
21,N1693011503,L009,mentions,ekc:mentions
22,N1693021404,L009,mentions,ekc:mentions
23,N1694050705,L009,mentions,ekc:mentions
24,N1697101302,L009,mentions,ekc:mentions
25,N1698082903,L956,mentions,ekc:mentions
26,N1699031503,L009,mentions,ekc:mentions
27,N1694010402,L010,mentions,ekc:mentions
28,N1698040601,L011,mentions,ekc:mentions
29,N1699081502,L012,mentions,ekc:mentions
30,N1692010602,L012,mentions,ekc:mentions
31,N1692050401,L012,mentions,ekc:mentions
32,N1693010101,L012,mentions,ekc:mentions
33,N1693011102,L012,mentions,ekc:mentions
34,N1693050501,L012,mentions,ekc:mentions
35,N1693081501,L012,mentions,ekc:mentions
36,N1693091403,L012,mentions,ekc:mentions
37,N1694010101,L012,mentions,ekc:mentions
38,N1694031102,L012,mentions,ekc:mentions
39,N1694050402,L012,mentions,ekc:mentions
40,N1694050502,L012,mentions,ekc:mentions
41,N1695010101,L012,mentions,ekc:mentions
42,N1695022202,L012,mentions,ekc:mentions
43,N1695022615,L012,mentions,ekc:mentions
44,N1695040506,L012,mentions,ekc:mentions
45,N1695050501,L012,mentions,ekc:mentions
46,N1695052605,L012,mentions,ekc:mentions
47,N1695060205,L012,mentions,ekc:mentions
48,N1695060403,L012,mentions,ekc:mentions
49,N1695070102,L012,mentions,ekc:mentions
50,N1695071201,L012,mentions,ekc:mentions
51,N1695071204,L012,mentions,ekc:mentions
52,N1695072605,L012,mentions,ekc:mentions
53,N1696010101,L012,mentions,ekc:mentions
54,N1696010302,L012,mentions,ekc:mentions
55,N1696010401,L012,mentions,ekc:mentions
56,N1696071904,L012,mentions,ekc:mentions
57,N1696122002,L012,mentions,ekc:mentions
58,N1697010102,L012,mentions,ekc:mentions
59,N1697010501,L012,mentions,ekc:mentions
60,N1697010601,L012,mentions,ekc:mentions
61,N1697021306,L012,mentions,ekc:mentions
62,N1697031401,L012,mentions,ekc:mentions
63,N1697050501,L012,mentions,ekc:mentions
64,N1697081501,L012,mentions,ekc:mentions
65,N1697092901,L012,mentions,ekc:mentions
66,N1697112106,L012,mentions,ekc:mentions
67,N1697123001,L012,mentions,ekc:mentions
68,N1698021800,L012,mentions,ekc:mentions
69,N1698022301,L012,mentions,ekc:mentions
70,N1698022505,L012,mentions,ekc:mentions
71,N1698050501,L012,mentions,ekc:mentions
72,N1698081503,L012,mentions,ekc:mentions
73,N1698092902,L012,mentions,ekc:mentions
74,N1698112601,L012,mentions,ekc:mentions
75,N1699030601,L012,mentions,ekc:mentions
76,N1699050501,L012,mentions,ekc:mentions
77,N1692050101,L012,mentions,ekc:mentions
78,N1692081501,L012,mentions,ekc:mentions
79,N1694081500,L012,mentions,ekc:mentions
80,N1693121503,L012,mentions,ekc:mentions
81,N1697112101,L012,mentions,ekc:mentions
82,N1694032602,L013,mentions,ekc:mentions
83,N1698071300,L013,mentions,ekc:mentions
84,N1697111903,L960,mentions,ekc:mentions
85,N1697111905,L960,mentions,ekc:mentions
86,N1698122505,L960,mentions,ekc:mentions
87,N1698122503,L014,mentions,ekc:mentions
88,N1699010300,L014,mentions,ekc:mentions
89,N1699010502,L014,mentions,ekc:mentions
90,N1699010701,L014,mentions,ekc:mentions
91,N1699010702,L014,mentions,ekc:mentions
92,N1699080602,L015,mentions,ekc:mentions
93,N1699080901,L015,mentions,ekc:mentions
94,N1693100401,L016,mentions,ekc:mentions
95,N1693110302,L016,mentions,ekc:mentions
96,N1694090404,L016,mentions,ekc:mentions
97,N1696061602,L016,mentions,ekc:mentions
98,N1699031304,L017,mentions,ekc:mentions
99,N1699082104,L017,mentions,ekc:mentions
100,N1695060204,L925,mentions,ekc:mentions
101,N1697030201,L019,mentions,ekc:mentions
102,N1693080802,L018,mentions,ekc:mentions
103,N1698052602,L527,mentions,ekc:mentions
104,N1694110200,L020,mentions,ekc:mentions
105,N1696101404,L020,mentions,ekc:mentions
106,N1692051903,L021,mentions,ekc:mentions
107,N1692072601,L021,mentions,ekc:mentions
108,N1695113002,L021,mentions,ekc:mentions
109,N1696070702,L021,mentions,ekc:mentions
110,N1698042300,L021,mentions,ekc:mentions
111,N1694052303,L022,mentions,ekc:mentions
112,N1694052805,L022,mentions,ekc:mentions
113,N1695050302,L022,mentions,ekc:mentions
114,N1695080402,L022,mentions,ekc:mentions
115,N1692040402,L022,mentions,ekc:mentions
116,N1692072202,L022,mentions,ekc:mentions
117,N1692090504,L022,mentions,ekc:mentions
118,N1692110902,L022,mentions,ekc:mentions
119,N1692112700,L022,mentions,ekc:mentions
120,N1692120203,L022,mentions,ekc:mentions
121,N1693013002,L022,mentions,ekc:mentions
122,N1693022002,L022,mentions,ekc:mentions
123,N1693030801,L022,mentions,ekc:mentions
124,N1693040202,L022,mentions,ekc:mentions
125,N1693042001,L022,mentions,ekc:mentions
126,N1693050302,L022,mentions,ekc:mentions
127,N1693052804,L022,mentions,ekc:mentions
128,N1693062902,L022,mentions,ekc:mentions
129,N1693072805,L022,mentions,ekc:mentions
130,N1693081101,L022,mentions,ekc:mentions
131,N1694022703,L022,mentions,ekc:mentions
132,N1694052804,L022,mentions,ekc:mentions
133,N1694072001,L043,mentions,ekc:mentions
134,N1694072702,L022,mentions,ekc:mentions
135,N1694080102,L022,mentions,ekc:mentions
136,N1694110102,L022,mentions,ekc:mentions
137,N1694110601,L022,mentions,ekc:mentions
138,N1694110701,L022,mentions,ekc:mentions
139,N1694112506,L022,mentions,ekc:mentions
140,N1694121003,L022,mentions,ekc:mentions
141,N1694121403,L022,mentions,ekc:mentions
142,N1695012101,L022,mentions,ekc:mentions
143,N1695021902,L022,mentions,ekc:mentions
144,N1695042502,L022,mentions,ekc:mentions
145,N1695051401,L022,mentions,ekc:mentions
146,N1695051803,L022,mentions,ekc:mentions
147,N1695062601,L022,mentions,ekc:mentions
148,N1695080105,L022,mentions,ekc:mentions
149,N1695080401,L022,mentions,ekc:mentions
150,N1695110301,L022,mentions,ekc:mentions
151,N1696010202,L022,mentions,ekc:mentions
152,N1697020902,L022,mentions,ekc:mentions
153,N1697061402,L022,mentions,ekc:mentions
154,N1697112202,L022,mentions,ekc:mentions
155,N1699011401,L022,mentions,ekc:mentions
156,N1699072801L,L022,mentions,ekc:mentions
157,N1692031801,L023,mentions,ekc:mentions
158,N1697032301,L024,mentions,ekc:mentions
159,N1692051304,L025,mentions,ekc:mentions
160,N1692062501,L025,mentions,ekc:mentions
161,N1692082806,L025,mentions,ekc:mentions
162,N1692120605,L025,mentions,ekc:mentions
163,N1693021401,L025,mentions,ekc:mentions
164,N1693040604,L025,mentions,ekc:mentions
165,N1693072006,L025,mentions,ekc:mentions
166,N1694012502,L025,mentions,ekc:mentions
167,N1694051403,L025,mentions,ekc:mentions
168,N1694052002,L025,mentions,ekc:mentions
169,N1694052701,L025,mentions,ekc:mentions
170,N1694050902L,L025,mentions,ekc:mentions
171,N1694072103,L025,mentions,ekc:mentions
172,N1694081702,L025,mentions,ekc:mentions
173,N1694102804,L025,mentions,ekc:mentions
174,N1694111603,L025,mentions,ekc:mentions
175,N1695011604,L025,mentions,ekc:mentions
176,N1695041306,L025,mentions,ekc:mentions
177,N1695060608,L025,mentions,ekc:mentions
178,N1695111101,L025,mentions,ekc:mentions
179,N1696030702,L025,mentions,ekc:mentions
180,N1696030901,L025,mentions,ekc:mentions
181,N1696042102,L025,mentions,ekc:mentions
182,N1696110301,L025,mentions,ekc:mentions
183,N1696111500,L025,mentions,ekc:mentions
184,N1696120603,L025,mentions,ekc:mentions
185,N1696122303,L025,mentions,ekc:mentions
186,N1697032903L,L025,mentions,ekc:mentions
187,N1697051903,L025,mentions,ekc:mentions
188,N1698011607,L025,mentions,ekc:mentions
189,N1698051104,L025,mentions,ekc:mentions
190,N1698090302,L025,mentions,ekc:mentions
191,N1697021302,L026,mentions,ekc:mentions
192,N1698083003,L026,mentions,ekc:mentions
193,N1693020502,L025,mentions,ekc:mentions
194,N1692012303,L025,mentions,ekc:mentions
195,N1692112201,L025,mentions,ekc:mentions
196,N1692112602,L025,mentions,ekc:mentions
197,N1692122403,L025,mentions,ekc:mentions
198,N1693010303,L025,mentions,ekc:mentions
199,N1693031801,L025,mentions,ekc:mentions
