id,sourceid,targetid,relation,prefixrelation
1,N1693112101,F001,isRelevantTo,jad:isRelevantTo
2,N1694050902L,F002,isRelevantTo,jad:isRelevantTo
3,N1692031102,F003,isRelevantTo,jad:isRelevantTo
4,N1692031802,F004,isRelevantTo,jad:isRelevantTo
5,N1692041003,F005,isRelevantTo,jad:isRelevantTo
6,N1692051706,F006,isRelevantTo,jad:isRelevantTo
7,N1692051705,F007,isRelevantTo,jad:isRelevantTo
8,N1692062806,F008,isRelevantTo,jad:isRelevantTo
9,N1692071807,F009,isRelevantTo,jad:isRelevantTo
10,N1692071806,F010,isRelevantTo,jad:isRelevantTo
11,N1692081602,F011,isRelevantTo,jad:isRelevantTo
12,N1693020105,F012,isRelevantTo,jad:isRelevantTo
13,N1693011902,F013,isRelevantTo,jad:isRelevantTo
14,N1692123002,F014,isRelevantTo,jad:isRelevantTo
15,N1693012306,F015,isRelevantTo,jad:isRelevantTo
16,N1693030501,F016,isRelevantTo,jad:isRelevantTo
17,N1693031702,F017,isRelevantTo,jad:isRelevantTo
18,N1693031901,F018,isRelevantTo,jad:isRelevantTo
19,N1693051905,F019,isRelevantTo,jad:isRelevantTo
20,N1693051905,F020,isRelevantTo,jad:isRelevantTo
21,N1693030401,F021,isRelevantTo,jad:isRelevantTo
22,N1693083004,F022,isRelevantTo,jad:isRelevantTo
23,N1693101003,F023,isRelevantTo,jad:isRelevantTo
24,N1693101411,F024,isRelevantTo,jad:isRelevantTo
25,N1693101901,F025,isRelevantTo,jad:isRelevantTo
26,N1693102801,F026,isRelevantTo,jad:isRelevantTo
27,N1693121606,F027,isRelevantTo,jad:isRelevantTo
28,N1693122707,F028,isRelevantTo,jad:isRelevantTo
29,N1693122702,F029,isRelevantTo,jad:isRelevantTo
30,N1694020101,F030,isRelevantTo,jad:isRelevantTo
31,N1694012304,F031,isRelevantTo,jad:isRelevantTo
32,N1694031602,F032,isRelevantTo,jad:isRelevantTo
33,N1694040302,F033,isRelevantTo,jad:isRelevantTo
34,N1694041403,F034,isRelevantTo,jad:isRelevantTo
35,N1694041201,F035,isRelevantTo,jad:isRelevantTo
36,N1694042401,F035,isRelevantTo,jad:isRelevantTo
37,N1694051403,F036,isRelevantTo,jad:isRelevantTo
38,N1694050303L,F037,isRelevantTo,jad:isRelevantTo
39,N1695011604,F038,isRelevantTo,jad:isRelevantTo
40,N1694052202L,F039,isRelevantTo,jad:isRelevantTo
41,N1694070702,F040,isRelevantTo,jad:isRelevantTo
42,N1694052103L,F041,isRelevantTo,jad:isRelevantTo
43,N1694061203,F042,isRelevantTo,jad:isRelevantTo
44,N1694072104,F043,isRelevantTo,jad:isRelevantTo
45,N1694072905,F044,isRelevantTo,jad:isRelevantTo
46,N1694070201,F045,isRelevantTo,jad:isRelevantTo
47,N1694082303,F046,isRelevantTo,jad:isRelevantTo
48,N1694091503,F047,isRelevantTo,jad:isRelevantTo
49,N1695090801,F048,isRelevantTo,jad:isRelevantTo
50,N1694092302,F049,isRelevantTo,jad:isRelevantTo
51,N1694112706,F050,isRelevantTo,jad:isRelevantTo
52,N1694110304,F051,isRelevantTo,jad:isRelevantTo
53,N1695011803,F052,isRelevantTo,jad:isRelevantTo
54,N1695041301,F053,isRelevantTo,jad:isRelevantTo
55,N1695051204,F054,isRelevantTo,jad:isRelevantTo
56,N1695061201,F055,isRelevantTo,jad:isRelevantTo
57,N1695062005,F057,isRelevantTo,jad:isRelevantTo
