id,sourceid,targetid,relation,prefixrelation
1,N1692031603,S001,mentions,ekc:mentions
2,N1697070703,S002,mentions,ekc:mentions
3,N1692031605,S002,mentions,ekc:mentions
4,N1694101306,S002,mentions,ekc:mentions
5,N1693031202,S002,mentions,ekc:mentions
6,N1695032504,S002,mentions,ekc:mentions
7,N1692031901,S003,mentions,ekc:mentions
8,N1693120101,S003,mentions,ekc:mentions
9,N1694041603,S003,mentions,ekc:mentions
10,N1694050301L,S003,mentions,ekc:mentions
11,N1694050603L,S003,mentions,ekc:mentions
12,N1694110604,S003,mentions,ekc:mentions
13,N1696012704,S003,mentions,ekc:mentions
14,N1698062900,S003,mentions,ekc:mentions
15,N1698081705,S003,mentions,ekc:mentions
16,N1698110801,S003,mentions,ekc:mentions
17,N1698122103,S003,mentions,ekc:mentions
18,N1699080402,S003,mentions,ekc:mentions
19,N1697090701,S004,mentions,ekc:mentions
20,N1692032802,S004,mentions,ekc:mentions
21,N1692042202,S004,mentions,ekc:mentions
22,N1692070806,S004,mentions,ekc:mentions
23,N1692072301,S004,mentions,ekc:mentions
24,N1693090703,S004,mentions,ekc:mentions
25,N1693091102,S004,mentions,ekc:mentions
26,N1695010504,S005,mentions,ekc:mentions
27,N1695031503,S005,mentions,ekc:mentions
28,N1697020503,S005,mentions,ekc:mentions
29,N1696122501,S005,mentions,ekc:mentions
30,N1692032901,S005,mentions,ekc:mentions
31,N1692033003,S006,mentions,ekc:mentions
32,N1692072902,S006,mentions,ekc:mentions
33,N1694031901,S006,mentions,ekc:mentions
34,N1694042405,S006,mentions,ekc:mentions
35,N1697051502,S006,mentions,ekc:mentions
36,N1692040302,S007,mentions,ekc:mentions
37,N1692040303,S008,mentions,ekc:mentions
38,N1694050901L,S008,mentions,ekc:mentions
39,N1696110605,S008,mentions,ekc:mentions
40,N1692040303,S009,mentions,ekc:mentions
41,N1692122706,S009,mentions,ekc:mentions
42,N1694122402,S009,mentions,ekc:mentions
43,N1695111301,S009,mentions,ekc:mentions
44,N1697051303,S009,mentions,ekc:mentions
45,N1692041002,S010,mentions,ekc:mentions
46,N1692051704,S010,mentions,ekc:mentions
47,N1692051902,S010,mentions,ekc:mentions
48,N1694051602,S010,mentions,ekc:mentions
49,N1695051203,S010,mentions,ekc:mentions
50,N1695111101,S010,mentions,ekc:mentions
51,N1696050602,S010,mentions,ekc:mentions
52,N1696051101,S010,mentions,ekc:mentions
53,N1697011802,S010,mentions,ekc:mentions
54,N1698022902,S010,mentions,ekc:mentions
55,N1698023003,S010,mentions,ekc:mentions
56,N1698032402,S010,mentions,ekc:mentions
57,N1698041501,S010,mentions,ekc:mentions
58,N1698091401,S010,mentions,ekc:mentions
59,N1698092303,S010,mentions,ekc:mentions
60,N1699062601,S010,mentions,ekc:mentions
61,N1699070903L,S010,mentions,ekc:mentions
62,N1699082101,S010,mentions,ekc:mentions
63,N1692042304,S011,mentions,ekc:mentions
64,N1695030403,S011,mentions,ekc:mentions
65,N1694061501,S013,mentions,ekc:mentions
66,N1696111902,S013,mentions,ekc:mentions
67,N1696112501,S013,mentions,ekc:mentions
68,N1699052801,S013,mentions,ekc:mentions
69,N1694052801L,S013,mentions,ekc:mentions
70,N1696111302,S013,mentions,ekc:mentions
71,N1696111401,S013,mentions,ekc:mentions
72,N1692051705,S013,mentions,ekc:mentions
73,N1694091502,S013,mentions,ekc:mentions
74,N1695011801,S013,mentions,ekc:mentions
75,N1696101801,S013,mentions,ekc:mentions
76,N1697110403,S013,mentions,ekc:mentions
77,N1698012308,S013,mentions,ekc:mentions
78,N1699021201,S013,mentions,ekc:mentions
79,N1694121703,S013,mentions,ekc:mentions
80,N1694062300,S013,mentions,ekc:mentions
81,N1694082902,S013,mentions,ekc:mentions
82,N1693021806,S013,mentions,ekc:mentions
83,N1693022303,S013,mentions,ekc:mentions
84,N1693041401,S013,mentions,ekc:mentions
85,N1693072603,S013,mentions,ekc:mentions
86,N1693102011,S013,mentions,ekc:mentions
87,N1693102507,S013,mentions,ekc:mentions
88,N1693111703,S013,mentions,ekc:mentions
89,N1693121604,S013,mentions,ekc:mentions
90,N1693122404,S013,mentions,ekc:mentions
91,N1693122701,S013,mentions,ekc:mentions
92,N1698110703,S013,mentions,ekc:mentions
93,N1694082601,S013,mentions,ekc:mentions
94,N1695082401,S013,mentions,ekc:mentions
95,N1694092301,S013,mentions,ekc:mentions
96,N1694101005,S013,mentions,ekc:mentions
97,N1696011104,S013,mentions,ekc:mentions
98,N1694101804,S013,mentions,ekc:mentions
99,N1694111401,S013,mentions,ekc:mentions
100,N1698101002,S014,mentions,ekc:mentions
101,N1698101101,S014,mentions,ekc:mentions
102,N1692052806,S014,mentions,ekc:mentions
103,N1693120302,S014,mentions,ekc:mentions
104,N1693122604,S014,mentions,ekc:mentions
105,N1694030605,S014,mentions,ekc:mentions
106,N1696110602,S014,mentions,ekc:mentions
107,N1692060802,S015,mentions,ekc:mentions
108,N1692061201,S015,mentions,ekc:mentions
109,N1694031901,S017,mentions,ekc:mentions
110,N1692062701,S017,mentions,ekc:mentions
111,N1692070302,S019,mentions,ekc:mentions
112,N1695010805,S019,mentions,ekc:mentions
113,N1692070402,S021,mentions,ekc:mentions
114,N1692101302,S021,mentions,ekc:mentions
115,N1693092506,S021,mentions,ekc:mentions
116,N1693092602,S021,mentions,ekc:mentions
