id,sourceid,targetid,relation,prefixrelation
1,R1692012800,P1203,creator,dcterms:creator
2,R1692020800,P1203,creator,dcterms:creator
3,R1692032701,P3201,creator,dcterms:creator
4,R1692032702,P1203,creator,dcterms:creator
5,R1692032703,P3040,creator,dcterms:creator
6,R1692032704,P1203,creator,dcterms:creator
7,R1692111800,P1203,creator,dcterms:creator
8,R1692122000,P1203,creator,dcterms:creator
9,R1693011600,P1204,creator,dcterms:creator
10,R1693012700,P1203,creator,dcterms:creator
11,R1693050300,P1203,creator,dcterms:creator
12,R1693052001,P0774,creator,dcterms:creator
13,R1693052002,P0774,creator,dcterms:creator
14,R1693091100,P1203,creator,dcterms:creator
15,R1693101100,P1203,creator,dcterms:creator
16,R1694010800,P0774,creator,dcterms:creator
17,R1694021601,P1203,creator,dcterms:creator
18,R1694021602,P1203,creator,dcterms:creator
19,R1694031300,P1203,creator,dcterms:creator
20,R1694040600,P1203,creator,dcterms:creator
21,R1694050900L,P1203,creator,dcterms:creator
22,R1694070500,P1203,creator,dcterms:creator
23,R1694072600,P0497,creator,dcterms:creator
24,R1694080700,P1203,creator,dcterms:creator
25,R1694080800,P1203,creator,dcterms:creator
26,R1694082300,P0774,creator,dcterms:creator
27,R1694122901,P1203,creator,dcterms:creator
28,R1694122902,P1203,creator,dcterms:creator
29,R1694122903,P3202,creator,dcterms:creator
30,R1694122904,P0190,creator,dcterms:creator
31,R1694122905,P1203,creator,dcterms:creator
32,R1694122906,P1203,creator,dcterms:creator
33,R1694122907,P1203,creator,dcterms:creator
34,R1694122909,P1203,creator,dcterms:creator
35,R1694122910,P1203,creator,dcterms:creator
36,R1694122911,P1203,creator,dcterms:creator
37,R1694122914,P1203,creator,dcterms:creator
38,R1694122915,P1203,creator,dcterms:creator
39,R1694122916,P1203,creator,dcterms:creator
40,R1695012200,P1203,creator,dcterms:creator
41,R1695022400,P0854,creator,dcterms:creator
42,R1695040600,P1203,creator,dcterms:creator
43,R1695042901,P1203,creator,dcterms:creator
44,R1695042902,P0427,creator,dcterms:creator
45,R1695050700,P1203,creator,dcterms:creator
46,R1695051401,P0427,creator,dcterms:creator
47,R1695051402,P0427,creator,dcterms:creator
48,R1695051403,P0427,creator,dcterms:creator
49,R1695080200,P1203,creator,dcterms:creator
50,R1695091000,P0451,creator,dcterms:creator
51,R1695100701,P0068,creator,dcterms:creator
52,R1695100702,P0416,creator,dcterms:creator
53,R1695100703,P1203,creator,dcterms:creator
54,R1695100704,P0068,creator,dcterms:creator
55,R1695100705,P1203,creator,dcterms:creator
56,R1695100800,P0417,creator,dcterms:creator
57,R1695101700,P1203,creator,dcterms:creator
58,R1695102101,P1203,creator,dcterms:creator
59,R1695102102,P1345,creator,dcterms:creator
60,R1695102301,P1203,creator,dcterms:creator
61,R1695102302,P1203,creator,dcterms:creator
62,R1695120100,P1203,creator,dcterms:creator
63,R1695120400,P1203,creator,dcterms:creator
64,R1695121500,P1918,creator,dcterms:creator
65,R1695122901,P1203,creator,dcterms:creator
66,R1695122902,P1345,creator,dcterms:creator
67,R1696011001,P0959,creator,dcterms:creator
68,R1696011002,P0959,creator,dcterms:creator
69,R1696011003,P0959,creator,dcterms:creator
70,R1696011004,P0959,creator,dcterms:creator
71,R1696011005,P1184,creator,dcterms:creator
72,R1696011006,P1184,creator,dcterms:creator
73,R1696011007,P1184,creator,dcterms:creator
74,R1696011008,P1191,creator,dcterms:creator
75,R1696011009,P1191,creator,dcterms:creator
76,R1696011010,P1191,creator,dcterms:creator
77,R1696011011,P1191,creator,dcterms:creator
78,R1696011012,P1191,creator,dcterms:creator
79,R1696011013,P1191,creator,dcterms:creator
80,R1696011014,P1191,creator,dcterms:creator
81,R1696011015,P1191,creator,dcterms:creator
82,R1696011016,P1191,creator,dcterms:creator
83,R1696011017,P1191,creator,dcterms:creator
84,R1696011801,P1880,creator,dcterms:creator
85,R1696011802,P1880,creator,dcterms:creator
86,R1696012701,P0416,creator,dcterms:creator
87,R1696012702,P0416,creator,dcterms:creator
88,R1696012703,P0416,creator,dcterms:creator
89,R1696012704,P2089,creator,dcterms:creator
90,R1696012705,P2089,creator,dcterms:creator
91,R1696012706,P2089,creator,dcterms:creator
92,R1696012707,P2168,creator,dcterms:creator
93,R1696012708,P1982,creator,dcterms:creator
94,R1696020200,P1345,creator,dcterms:creator
95,R1696021201,P1202,creator,dcterms:creator
96,R1696021202,P1202,creator,dcterms:creator
97,R1696021203,P1202,creator,dcterms:creator
98,R1696021204,P0962,creator,dcterms:creator
99,R1696021205,P0962,creator,dcterms:creator
100,R1696021700,P0427,creator,dcterms:creator
101,R1696030101,P0068,creator,dcterms:creator
102,R1696030102,P0068,creator,dcterms:creator
103,R1696030500,P1203,creator,dcterms:creator
104,R1696031200,P1880,creator,dcterms:creator
105,R1696031301,P1290,creator,dcterms:creator
106,R1696031302,P1290,creator,dcterms:creator
107,R1696040101,P1074,creator,dcterms:creator
108,R1696040102,P1074,creator,dcterms:creator
109,R1696040601,P1682,creator,dcterms:creator
110,R1696040602,P1682,creator,dcterms:creator
111,R1696040603,P1682,creator,dcterms:creator
112,R1696041400,P1880,creator,dcterms:creator
113,R1696041901,P0324,creator,dcterms:creator
114,R1696041902,P0324,creator,dcterms:creator
115,R1696060101,P1521,creator,dcterms:creator
116,R1696060102,P1521,creator,dcterms:creator
117,R1696060103,P1521,creator,dcterms:creator
118,R1696060104,P1266,creator,dcterms:creator
119,R1696060105,P1266,creator,dcterms:creator
120,R1696060106,P1266,creator,dcterms:creator
121,R1696060107,P1266,creator,dcterms:creator
122,R1696060108,P1203,creator,dcterms:creator
125,R1696061003,P1833,creator,dcterms:creator
126,R1696061004,P1833,creator,dcterms:creator
127,R1696061005,P1564,creator,dcterms:creator
128,R1696061006,P1564,creator,dcterms:creator
129,R1696061009,P1567,creator,dcterms:creator
130,R1696061010,P1567,creator,dcterms:creator
131,R1696061011,P1571,creator,dcterms:creator
132,R1696061012,P1571,creator,dcterms:creator
133,R1696061013,P1608,creator,dcterms:creator
134,R1696061014,P1608,creator,dcterms:creator
135,R1696061015,P0918,creator,dcterms:creator
136,R1696061016,P0883,creator,dcterms:creator
137,R1696061017,P0883,creator,dcterms:creator
139,R1696061019,P1177,creator,dcterms:creator
140,R1696061020,P1177,creator,dcterms:creator
141,R1696061021,P1177,creator,dcterms:creator
142,R1696061022,P1177,creator,dcterms:creator
143,R1696061023,P1005,creator,dcterms:creator
144,R1696061024,P1005,creator,dcterms:creator
145,R1696061025,P1005,creator,dcterms:creator
146,R1696061026,P1005,creator,dcterms:creator
147,R1696061027,P1005,creator,dcterms:creator
148,R1696061028,P1005,creator,dcterms:creator
149,R1696061029,P3204,creator,dcterms:creator
150,R1696061030,P3204,creator,dcterms:creator
151,R1696061031,P0883,creator,dcterms:creator
152,R1696061032,P1203,creator,dcterms:creator
153,R1696061033,P1203,creator,dcterms:creator
154,R1696061034,P1203,creator,dcterms:creator
155,R1696061035,P1203,creator,dcterms:creator
156,R1696061036,P1203,creator,dcterms:creator
157,R1696070601,P1203,creator,dcterms:creator
158,R1696070602,P0427,creator,dcterms:creator
159,R1696071200,P1203,creator,dcterms:creator
160,R1696072900,P1203,creator,dcterms:creator
161,R1696082600,P1203,creator,dcterms:creator
162,R1696092100,P1203,creator,dcterms:creator
163,R1696092900,P1203,creator,dcterms:creator
164,R1697021600,P1203,creator,dcterms:creator
165,R1697022601,P1203,creator,dcterms:creator
166,R1697022602,P1203,creator,dcterms:creator
167,R1697022701,P1203,creator,dcterms:creator
168,R1697022702,P1236,creator,dcterms:creator
169,R1697022800,P1203,creator,dcterms:creator
170,R1697023000,P1203,creator,dcterms:creator
171,R1697030300,P1203,creator,dcterms:creator
172,R1697030501,P1203,creator,dcterms:creator
173,R1697030502,P1203,creator,dcterms:creator
174,R1697030700,P1203,creator,dcterms:creator
175,R1697040800,P1203,creator,dcterms:creator
176,R1697052001,P1203,creator,dcterms:creator
177,R1697052002,P0048,creator,dcterms:creator
178,R1697052601,P1203,creator,dcterms:creator
179,R1697052602,P0459,creator,dcterms:creator
180,R1697052700,P0049,creator,dcterms:creator
181,R1697062000,P1203,creator,dcterms:creator
182,R1697070101,P0459,creator,dcterms:creator
183,R1697070102,P1203,creator,dcterms:creator
184,R1697072200,P1203,creator,dcterms:creator
185,R1697081100,P1203,creator,dcterms:creator
186,R1697081800,P1203,creator,dcterms:creator
187,R1697090700,P1203,creator,dcterms:creator
188,R1697092601,P0427,creator,dcterms:creator
189,R1697092602,P1203,creator,dcterms:creator
190,R1697092603,P1203,creator,dcterms:creator
191,R1697100600,P0427,creator,dcterms:creator
