id,sourceid,targetid,relation,prefixrelation,defaults,familytree,ftdirectline,ftgeneration,politicalrelationship,orders
1,P1337,P0967,hasSon,ekc:hasSon,,familyTree,directLine,12,,
2,P1337,P4068,hasSon,ekc:hasSon,,familyTree,,12,,
3,P1337,P4076,hasSon,ekc:hasSon,,familyTree,,12,,
4,P1337,P1028,hasSon,ekc:hasSon,,familyTree,,12,,
5,P1337,P4100,hasDaughter,ekc:hasDaughter,,familyTree,,12,,
6,P1337,P4104,hasDaughter,ekc:hasDaughter,,familyTree,,12,,
7,P4099,P4100,hasWife,ekc:hasWife,,familyTree,,13,,
8,P4103,P4104,hasWife,ekc:hasWife,,familyTree,,13,,
9,P0967,P1333,hasSon,ekc:hasSon,,familyTree,directLine,13,,
10,P0967,P1175,hasSon,ekc:hasSon,,familyTree,directLine,13,,
11,P0967,P4066,hasSon,ekc:hasSon,,familyTree,directLine,13,,
12,P0967,P4173,hasDaughter,ekc:hasDaughter,,familyTree,directLine,13,,
13,P4068,P4069,hasSon,ekc:hasSon,,familyTree,,13,,
14,P4068,P4072,hasSon,ekc:hasSon,,familyTree,,13,,
15,P4068,P4074,hasSon,ekc:hasSon,,familyTree,,13,,
16,P4076,P4164,hasSon,ekc:hasSon,,familyTree,,13,,
17,P4076,P4107,hasSon,ekc:hasSon,,familyTree,,13,,
18,P4076,P4077,hasSon,ekc:hasSon,,familyTree,,13,,
19,P4076,P4082,hasSon,ekc:hasSon,,familyTree,,13,,
20,P1028,P4086,hasSon,ekc:hasSon,,familyTree,,13,,
21,P1028,P1344,hasSon,ekc:hasSon,,familyTree,,13,,
22,P1028,P4090,hasSon,ekc:hasSon,,familyTree,,13,,
23,P1028,P0966,hasSon,ekc:hasSon,,familyTree,,13,,
24,P1028,P4161,hasSon,ekc:hasSon,,familyTree,,13,,
25,P1028,P4097,hasDaughter,ekc:hasDaughter,,familyTree,,13,,
26,P1028,P4060,hasDaughter,ekc:hasDaughter,,familyTree,,13,,
27,P4099,P4101,hasSon,ekc:hasSon,,familyTree,,13,,
28,P4099,P4138,hasSon,ekc:hasSon,,familyTree,,13,,
29,P4103,P4105,hasSon,ekc:hasSon,,familyTree,,13,,
30,P1568,P4060,hasWife,ekc:hasWife,,familyTree,,14,,
31,P4096,P4097,hasWife,ekc:hasWife,,familyTree,,14,,
32,P4181,P4173,hasWife,ekc:hasWife,,familyTree,,14,,
33,P1333,P1155,hasAdoptedHeir,ekc:hasAdoptedHeir,,familyTree,directLine,14,,
34,P1175,P4061,hasSon,ekc:hasSon,,familyTree,directLine,14,,
35,P1175,P1155,hasSon,ekc:hasSon,,familyTree,directLine,14,politicalRelationship,
36,P1175,P1160,hasSon,ekc:hasSon,,familyTree,directLine,14,,
37,P1175,P4063,hasDaughter,ekc:hasDaughter,,familyTree,directLine,14,politicalRelationship,
38,P4066,P4144,hasSon,ekc:hasSon,,familyTree,,14,,
39,P4066,P4136,hasSon,ekc:hasSon,,familyTree,,14,,
40,P4066,P4067,hasSon,ekc:hasSon,,familyTree,,14,,
41,P4066,P4133,hasSon,ekc:hasSon,,familyTree,,14,,
42,P4069,P4070,hasSon,ekc:hasSon,,familyTree,,14,,
43,P4069,P4071,hasDaughter,ekc:hasDaughter,,familyTree,,14,,
44,P4072,P4073,hasSon,ekc:hasSon,,familyTree,,14,,
45,P4072,P1113,hasSon,ekc:hasSon,,familyTree,,14,,
46,P4074,P4075,hasSon,ekc:hasSon,,familyTree,,14,,
47,P4164,P4165,hasSon,ekc:hasSon,,familyTree,,14,,
48,P4107,P4108,hasSon,ekc:hasSon,,familyTree,,14,,
49,P4107,P4110,hasSon,ekc:hasSon,,familyTree,,14,,
50,P4077,P4078,hasSon,ekc:hasSon,,familyTree,,14,,
51,P4082,P4168,hasSon,ekc:hasSon,,familyTree,,14,,
52,P4082,P4083,hasSon,ekc:hasSon,,familyTree,,14,,
53,P4082,P4085,hasDaughter,ekc:hasDaughter,,familyTree,,14,,
54,P4086,P4154,hasSon,ekc:hasSon,,familyTree,,14,,
55,P4086,P4087,hasSon,ekc:hasSon,,familyTree,,14,,
56,P4090,P4091,hasSon,ekc:hasSon,,familyTree,,14,,
57,P4090,P4157,hasSon,ekc:hasSon,,familyTree,,14,,
58,P1344,P4079,hasSon,ekc:hasSon,,familyTree,,14,,
59,P0966,P4093,hasSon,ekc:hasSon,,familyTree,,14,,
60,P0966,P4094,hasSon,ekc:hasSon,,familyTree,,14,,
61,P0966,P4095,hasSon,ekc:hasSon,,familyTree,,14,,
62,P4161,P4162,hasSon,ekc:hasSon,,familyTree,,14,,
63,P4096,P4126,hasSon,ekc:hasSon,,familyTree,,14,,
64,P4096,P4098,hasSon,ekc:hasSon,,familyTree,,14,,
65,P4101,P4102,hasSon,ekc:hasSon,,familyTree,,14,,
66,P4138,P4139,hasSon,ekc:hasSon,,familyTree,,14,,
67,P4105,P4106,hasSon,ekc:hasSon,,familyTree,,14,,
68,P4174,P1058,hasDaughter,ekc:hasDaughter,,familyTree,,15,politicalRelationship,
69,P4174,P4175,hasSon,ekc:hasSon,,familyTree,,15,politicalRelationship,
70,P4062,P4063,hasWife,ekc:hasWife,,familyTree,,15,politicalRelationship,
71,P0660,P4071,hasWife,ekc:hasWife,,familyTree,,15,,
72,P4084,P4085,hasWife,ekc:hasWife,,familyTree,,15,,
73,P1155,P1057,hasAdoptedHeir,ekc:hasAdoptedHeir,,familyTree,directLine,15,politicalRelationship,
74,P1155,P3103,hasSon,ekc:hasSon,,familyTree,directLine,15,,
75,P1155,P4058,hasDaughter,ekc:hasDaughter,,familyTree,directLine,15,,
76,P4061,P4059,hasSon,ekc:hasSon,,familyTree,directLine,15,,
77,P4061,P1057,hasSon,ekc:hasSon,,familyTree,directLine,15,,
78,P4061,P1072,hasSon,ekc:hasSon,,familyTree,directLine,15,,
79,P1160,P1054,hasSon,ekc:hasSon,,familyTree,,15,,
80,P1160,P3134,hasDaughter,ekc:hasDaughter,,familyTree,,15,,
81,P1160,P3108,hasDaughter,ekc:hasDaughter,,familyTree,,15,,
82,P1160,P4064,hasDaughter,ekc:hasDaughter,,familyTree,,15,,
83,P4062,P4123,hasSon,ekc:hasSon,,familyTree,,15,politicalRelationship,
84,P4062,P4124,hasSon,ekc:hasSon,,familyTree,,15,politicalRelationship,
85,P4144,P4145,hasSon,ekc:hasSon,,familyTree,,15,,
86,P4136,P4137,hasSon,ekc:hasSon,,familyTree,,15,,
87,P4136,P4146,hasSon,ekc:hasSon,,familyTree,,15,,
88,P4067,P4129,hasSon,ekc:hasSon,,familyTree,,15,,
89,P4067,P4130,hasSon,ekc:hasSon,,familyTree,,15,,
90,P4067,P1056,hasSon,ekc:hasSon,,familyTree,,15,,
91,P4067,P4131,hasSon,ekc:hasSon,,familyTree,,15,,
92,P4067,P1070,hasSon,ekc:hasSon,,familyTree,,15,,
93,P4067,P4132,hasSon,ekc:hasSon,,familyTree,,15,,
94,P4067,P4147,hasSon,ekc:hasSon,,familyTree,,15,,
95,P4067,P3007,hasSon,ekc:hasSon,,familyTree,,15,,
96,P4133,P4135,hasDaughter,ekc:hasDaughter,,familyTree,,15,,
97,P4070,P1074,hasSon,ekc:hasSon,,familyTree,,15,,
98,P4070,P4150,hasDaughter,ekc:hasDaughter,,familyTree,,15,,
