id,sourceid,targetid,relation,prefixrelation
1,S197,L012,residence,jad:residence
2,S230,L026,residence,jad:residence
3,S050,L025,residence,jad:residence
4,S417,L090,residence,jad:residence
5,S065,L149,residence,jad:residence
6,S235,L161,residence,jad:residence
7,S183,L179,residence,jad:residence
8,S183,L847,residence,jad:residence
9,S109,L213,residence,jad:residence
10,S209,L260,residence,jad:residence
11,S181,L269,residence,jad:residence
12,S208,L283,residence,jad:residence
13,S082,L303,residence,jad:residence
14,S093,L307,residence,jad:residence
15,S302,L307,residence,jad:residence
16,S141,L308,residence,jad:residence
17,S160,L308,residence,jad:residence
18,S249,L308,residence,jad:residence
19,S411,L320,residence,jad:residence
20,S441,L350,residence,jad:residence
21,S254,L372,residence,jad:residence
22,S255,L372,residence,jad:residence
23,S256,L372,residence,jad:residence
24,S257,L372,residence,jad:residence
25,S015,L383,residence,jad:residence
26,S083,L390,residence,jad:residence
27,S110,L431,residence,jad:residence
28,S111,L431,residence,jad:residence
29,S116,L431,residence,jad:residence
30,S246,L439,residence,jad:residence
31,S187,L451,residence,jad:residence
32,S089,L455,residence,jad:residence
33,S024,L526,residence,jad:residence
34,S423,L538,residence,jad:residence
35,S326,L578,residence,jad:residence
36,S222,L581,residence,jad:residence
37,S315,L623,residence,jad:residence
38,S203,L639,residence,jad:residence
39,S259,L653,residence,jad:residence
40,S260,L653,residence,jad:residence
41,S261,L653,residence,jad:residence
42,S262,L653,residence,jad:residence
43,S038,L666,residence,jad:residence
44,S080,L666,residence,jad:residence
45,S081,L666,residence,jad:residence
46,S292,L677,residence,jad:residence
47,S179,L685,residence,jad:residence
48,S322,L943,residence,jad:residence
49,S003,L689,residence,jad:residence
50,S146,L689,residence,jad:residence
51,S220,L689,residence,jad:residence
52,S221,L689,residence,jad:residence
53,S312,L689,residence,jad:residence
54,S419,L689,residence,jad:residence
55,S276,L700,residence,jad:residence
56,S445,L700,residence,jad:residence
57,S225,L712,residence,jad:residence
58,S226,L712,residence,jad:residence
59,S227,L006,residence,jad:residence
60,S157,L759,residence,jad:residence
61,S070,L765,residence,jad:residence
62,S079,L765,residence,jad:residence
63,S108,L765,residence,jad:residence
64,S118,L765,residence,jad:residence
65,S174,L765,residence,jad:residence
66,S252,L765,residence,jad:residence
67,S264,L765,residence,jad:residence
68,S421,L765,residence,jad:residence
69,S001,L786,residence,jad:residence
70,S007,L786,residence,jad:residence
71,S128,L792,residence,jad:residence
72,S062,L826,residence,jad:residence
73,S114,L826,residence,jad:residence
74,S133,L179,residence,jad:residence
75,S119,L814,residence,jad:residence
76,S013,L830,residence,jad:residence
77,S049,L842,residence,jad:residence
