id,sourceid,targetid,relation,prefixrelation
1,S278,S277,hasOffspring,jad:hasOffspring
2,S277,S276,hasOffspring,jad:hasOffspring
3,S132,S133,hasOffspring,jad:hasOffspring
4,S133,S284,hasOffspring,jad:hasOffspring
5,S187,S188,hasOffspring,jad:hasOffspring
6,S187,S189,hasOffspring,jad:hasOffspring
7,S189,S190,hasOffspring,jad:hasOffspring
8,S194,S189,hasDomesticPartner,jad:hasDomesticPartner
9,S038,S039,hasOffspring,jad:hasOffspring
10,S021,S250,hasDomesticPartner,jad:hasDomesticPartner
11,S316,S317,hasDomesticPartner,jad:hasDomesticPartner
12,S316,S318,hasOffspring,jad:hasOffspring
13,S316,S319,hasOffspring,jad:hasOffspring
14,S220,S218,hasDomesticPartner,jad:hasDomesticPartner
15,S220,S221,hasOffspring,jad:hasOffspring
16,S070,S165,hasDomesticPartner,jad:hasDomesticPartner
17,S070,S280,hasOffspring,jad:hasOffspring
18,S079,S060,hasDomesticPartner,jad:hasDomesticPartner
19,S060,S213,hasOffspring,jad:hasOffspring
20,S058,S258,hasDomesticPartner,jad:hasDomesticPartner
21,S058,S222,hasOffspring,jad:hasOffspring
22,S259,S260,hasOffspring,jad:hasOffspring
23,S259,S261,hasOffspring,jad:hasOffspring
24,S259,S262,hasOffspring,jad:hasOffspring
25,S026,S287,hasDomesticPartner,jad:hasDomesticPartner
26,S026,S288,hasOffspring,jad:hasOffspring
27,S223,S224,hasOffspring,jad:hasOffspring
28,S191,S192,hasOffspring,jad:hasOffspring
29,S191,S193,hasOffspring,jad:hasOffspring
30,S189,S195,hasOffspring,jad:hasOffspring
31,S189,S196,hasOffspring,jad:hasOffspring
32,S265,S264,hasDomesticPartner,jad:hasDomesticPartner
33,S062,S063,hasOffspring,jad:hasOffspring
34,S064,S062,hasDomesticPartner,jad:hasDomesticPartner
