id,class_field,name,korname,chinname,alias,author,url,uri
B001,Book,가례고증(家禮考證),가례고증,家禮考證,,조호익(曺好益),http://encykorea.aks.ac.kr/Contents/Item/E0000110,http://jiamdiary.info/iri/jad#B001
B002,Book,가례의절(家禮儀節),가례의절,家禮儀節,,구준(邱濬),,http://jiamdiary.info/iri/jad#B002
B003,Book,자치통감강목(資治通鑑綱目),자치통감강목,資治通鑑綱目,綱目,주희(朱熹),https://ko.wikipedia.org/wiki/자치통감강목,http://jiamdiary.info/iri/jad#B003
B004,Book,격양집(擊壤集),격양집,擊壤集,,소옹(邵雍),,http://jiamdiary.info/iri/jad#B004
B005,Book,계곡집(鷄谷集),계곡집,鷄谷集,,장유(張維),http://encykorea.aks.ac.kr/Contents/Item/E0003054,http://jiamdiary.info/iri/jad#B005
B006,Book,계한서(季漢書),계한서,季漢書,,사폐(謝陛),http://jsg.aks.ac.kr/data/dir/bookView.do?callNum=K2-145,http://jiamdiary.info/iri/jad#B006
B007,Book,구경연의(九經衍義),구경연의,九經衍義,,이언적(李彦迪),http://encykorea.aks.ac.kr/Contents/Item/E0053870,http://jiamdiary.info/iri/jad#B007
B008,Book,귤옥집(橘屋集),귤옥집,橘屋集,橘屋拙槁,윤광계(尹光啓),http://encykorea.aks.ac.kr/Contents/Item/E0007314,http://jiamdiary.info/iri/jad#B008
B009,Book,금남집(錦南集),금남집,錦南集,,최부(崔溥),http://encykorea.aks.ac.kr/Contents/Item/E0007638,http://jiamdiary.info/iri/jad#B009
B010,Book,남명집(南冥集),남명집,南冥集,,조식(曺植),http://encykorea.aks.ac.kr/Contents/Item/E0011894,http://jiamdiary.info/iri/jad#B010
B011,Book,남헌집(南軒集),남헌집,南軒集,,장식(張_),,http://jiamdiary.info/iri/jad#B011
B012,Book,노사영언(魯史零言),노사영언,魯史零言,,이항복(李恒福),http://encykorea.aks.ac.kr/Contents/Item/E0012776,http://jiamdiary.info/iri/jad#B012
B013,Book,논어(論語),논어,論語,,,http://encykorea.aks.ac.kr/Contents/Item/E0013042,http://jiamdiary.info/iri/jad#B013
B014,Book,논어대전(論語大全),논어대전,論語大全,,,,http://jiamdiary.info/iri/jad#B014
B015,Book,논어언해(論語諺解),논어언해,論語諺解,,교정청(校正廳),http://encykorea.aks.ac.kr/Contents/Item/E0013049,http://jiamdiary.info/iri/jad#B015
B016,Book,농사직설(農事直說),농사직설,農事直說,,정초(鄭招)·변효문(卞孝文),http://encykorea.aks.ac.kr/Contents/Item/E0013114,http://jiamdiary.info/iri/jad#B016
B017,Book,당시(唐詩),당시,唐詩,,,,http://jiamdiary.info/iri/jad#B017
B018,Book,대학(大學),대학,大學,,,http://encykorea.aks.ac.kr/Contents/Item/E0014884,http://jiamdiary.info/iri/jad#B018
B019,Book,대학연의집략(大學衍義輯略),대학연의집략,大學衍義輯略,,이석형(李石亨),http://encykorea.aks.ac.kr/Contents/Item/E0014898,http://jiamdiary.info/iri/jad#B019
B020,Book,도선비기(道詵秘記),도선비기,道詵秘記,,도선(道詵),https://ko.wikipedia.org/wiki/도선비기,http://jiamdiary.info/iri/jad#B020
B021,Book,동고집(東皐集),동고집,東皐集,東皐遺稿,이준경(李浚慶),http://encykorea.aks.ac.kr/Contents/Item/E0016226,http://jiamdiary.info/iri/jad#B021
B022,Book,동국이상국집(東國李相國集),동국이상국집,東國李相國集,,이규보(李奎報),http://encykorea.aks.ac.kr/Contents/Item/E0016292,http://jiamdiary.info/iri/jad#B022
B023,Book,동국통감(東國通鑑),동국통감,東國通鑑,,서거정(徐居正),http://encykorea.aks.ac.kr/Contents/Item/E0016304,http://jiamdiary.info/iri/jad#B023
B024,Book,동의보감(東醫寶鑑),동의보감,東醫寶鑑,,허준(許浚),http://encykorea.aks.ac.kr/Contents/Item/E0016731,http://jiamdiary.info/iri/jad#B024
B025,Book,명신언행록(名臣言行錄),명신언행록,名臣言行錄,宋名臣言行錄,주희(朱熹),,http://jiamdiary.info/iri/jad#B025
B026,Book,목은집(牧隱集),목은집,牧隱集,,이색(李穡),http://encykorea.aks.ac.kr/Contents/Item/E0018667,http://jiamdiary.info/iri/jad#B026
B027,Book,백가류찬(百家類纂),백가류찬,百家類纂,,심진(沈律),http://jsg.aks.ac.kr/data/dir/bookView.do?callNum=K3-662,http://jiamdiary.info/iri/jad#B027
B028,Book,부주당음(付註唐音),부주당음,付註唐音,,,,http://jiamdiary.info/iri/jad#B028
B029,Book,사기(史記),사기,史記,,,,http://jiamdiary.info/iri/jad#B029
B030,Book,사략(史略),사략,史略,,,http://encykorea.aks.ac.kr/Contents/Item/E0025499,http://jiamdiary.info/iri/jad#B030
B031,Book,사마재선생안(司馬齋先生案),사마재선생안,司馬齋先生案,海南司馬齋先生案,,,http://jiamdiary.info/iri/jad#B031
B032,Book,서경언해(書經諺解),서경언해,書經諺解,,교정청(校正廳),http://encykorea.aks.ac.kr/Contents/Item/E0027586,http://jiamdiary.info/iri/jad#B032
B033,Book,서애집(西厓集),서애집,西厓集,,류성룡(柳成龍),http://encykorea.aks.ac.kr/Contents/Item/E0027908,http://jiamdiary.info/iri/jad#B033
B034,Book,석천집(西厓集),석천집,石川集,,임억령(林億齡),http://encykorea.aks.ac.kr/Contents/Item/E0028542,http://jiamdiary.info/iri/jad#B034
B035,Book,선부초평주해(選賦抄評註解),선부초평주해,選賦抄評註解,,,,http://jiamdiary.info/iri/jad#B035
B036,Book,성학집요(聖學輯要),성학집요,聖學輯要,,이이(李珥),http://encykorea.aks.ac.kr/Contents/Item/E0029682,http://jiamdiary.info/iri/jad#B036
B037,Book,소재집(蘇齋集),소재집,蘇齋集,,노수신(盧守愼),http://encykorea.aks.ac.kr/Contents/Item/E0030261,http://jiamdiary.info/iri/jad#B037
B038,Book,소학(小學),소학,小學,,주희(朱熹),http://encykorea.aks.ac.kr/Contents/Item/E0030333,http://jiamdiary.info/iri/jad#B038
B039,Book,속자치통감강목(續自治通監綱目),속자치통감강목,續自治通監綱目,,김우옹(金宇_),http://encykorea.aks.ac.kr/Contents/Item/E0030442,http://jiamdiary.info/iri/jad#B039
B040,Book,시경(詩經),시경,詩經,,,,http://jiamdiary.info/iri/jad#B040
B041,Book,시경언해(詩經諺解),시경언해,詩經諺解,,교정청(校正廳),http://encykorea.aks.ac.kr/Contents/Item/E0032309,http://jiamdiary.info/iri/jad#B041
B042,Book,여사제강(麗史提綱),여사제강,麗史提綱,,유계(兪棨),http://encykorea.aks.ac.kr/Contents/Item/E0036353,http://jiamdiary.info/iri/jad#B042
B043,Book,역대신감(歷代臣鑑),역대신감,歷代臣鑑,,,,http://jiamdiary.info/iri/jad#B043
B044,Book,예기정문(禮記正文),예기정문,禮記正文,,,,http://jiamdiary.info/iri/jad#B044
B045,Book,오선생예설(五先生禮說),오선생예설,五先生禮說,五先生禮說分類,정구(鄭逑),http://encykorea.aks.ac.kr/Contents/Item/E0038338,http://jiamdiary.info/iri/jad#B045
B046,Book,우계집(牛溪集),우계집,牛溪集,,성혼(成渾),http://encykorea.aks.ac.kr/Contents/Item/E0039790,http://jiamdiary.info/iri/jad#B046
B047,Book,우복집(愚伏集),우복집,愚伏集,,정경세(鄭經世),http://encykorea.aks.ac.kr/Contents/Item/E0039912,http://jiamdiary.info/iri/jad#B047
B048,Book,자경편(自警編),자경편,自警編,,조선료(趙善_),http://encykorea.aks.ac.kr/Contents/Item/E0033129,http://jiamdiary.info/iri/jad#B048
B049,Book,장감박의(將鑑博議),장감박의,將鑑博議,將鑑,송대계(宋戴溪),http://sillok.history.go.kr/id/kda_11907019_002,http://jiamdiary.info/iri/jad#B049
B050,Book,점필재집(_畢齋集),점필재집,_畢齋集,,김종직(金宗直),http://encykorea.aks.ac.kr/Contents/Item/E0049867,http://jiamdiary.info/iri/jad#B050
