id,class_field,name,year,month,date,y_sc,m_sc,d_sc,intercalary,lunar,solar,conditions,weather_o,weather_t,uri,url
D1692,Diary,1692년,1692,,,壬申,,,,,,,,,http://jiamdiary.info/iri/jad#D1692,http://wiki.jiamdiary.info/1692
D169201,Diary,1692년1월,1692,1,,壬申,壬寅,,,,,,,,http://jiamdiary.info/iri/jad#D169201,http://wiki.jiamdiary.info/169201
D16920101,Diary,1692년1월1일,1692,1,1,壬申,壬寅,辛亥,,1692-01-01,1692-02-17,drop,朝霧重 晩來風曀,아침에 안개가 짙게 낌. 오전 늦게부터 바람이 불고 날이 어두워짐.,http://jiamdiary.info/iri/jad#D16920101,http://wiki.jiamdiary.info/16920101
D16920102,Diary,1692년1월2일,1692,1,2,壬申,壬寅,壬子,,1692-01-02,1692-02-18,blank,,,http://jiamdiary.info/iri/jad#D16920102,http://wiki.jiamdiary.info/16920102
D16920103,Diary,1692년1월3일,1692,1,3,壬申,壬寅,癸丑,,1692-01-03,1692-02-19,blank,,,http://jiamdiary.info/iri/jad#D16920103,http://wiki.jiamdiary.info/16920103
D16920104,Diary,1692년1월4일,1692,1,4,壬申,壬寅,甲寅,,1692-01-04,1692-02-20,blank,,,http://jiamdiary.info/iri/jad#D16920104,http://wiki.jiamdiary.info/16920104
D16920105,Diary,1692년1월5일,1692,1,5,壬申,壬寅,乙卯,,1692-01-05,1692-02-21,blank,,,http://jiamdiary.info/iri/jad#D16920105,http://wiki.jiamdiary.info/16920105
D16920106,Diary,1692년1월6일,1692,1,6,壬申,壬寅,丙辰,,1692-01-06,1692-02-22,drop,□…□,(1행 缺),http://jiamdiary.info/iri/jad#D16920106,http://wiki.jiamdiary.info/16920106
D16920107,Diary,1692년1월7일,1692,1,7,壬申,壬寅,丁巳,,1692-01-07,1692-02-23,,陰,흐림,http://jiamdiary.info/iri/jad#D16920107,http://wiki.jiamdiary.info/16920107
D16920108,Diary,1692년1월8일,1692,1,8,壬申,壬寅,戊午,,1692-01-08,1692-02-24,drop,夜雪 晝陰陽或雪,밤에 눈. 낮은 흐리다 맑음. 혹은 눈.,http://jiamdiary.info/iri/jad#D16920108,http://wiki.jiamdiary.info/16920108
D16920109,Diary,1692년1월9일,1692,1,9,壬申,壬寅,己未,,1692-01-09,1692-02-25,,陽,맑음,http://jiamdiary.info/iri/jad#D16920109,http://wiki.jiamdiary.info/16920109
D16920110,Diary,1692년1월10일,1692,1,10,壬申,壬寅,庚申,,1692-01-10,1692-02-26,drop,陰陽,흐리다 맑음,http://jiamdiary.info/iri/jad#D16920110,http://wiki.jiamdiary.info/16920110
D16920111,Diary,1692년1월11일,1692,1,11,壬申,壬寅,辛酉,,1692-01-11,1692-02-27,,,,http://jiamdiary.info/iri/jad#D16920111,http://wiki.jiamdiary.info/16920111
D16920112,Diary,1692년1월12일,1692,1,12,壬申,壬寅,壬戌,,1692-01-12,1692-02-28,blank,,,http://jiamdiary.info/iri/jad#D16920112,http://wiki.jiamdiary.info/16920112
D16920113,Diary,1692년1월13일,1692,1,13,壬申,壬寅,癸亥,,1692-01-13,1692-02-28,blank,,,http://jiamdiary.info/iri/jad#D16920113,http://wiki.jiamdiary.info/16920113
D16920114,Diary,1692년1월14일,1692,1,14,壬申,壬寅,甲子,,1692-01-14,1692-03-01,blank,,,http://jiamdiary.info/iri/jad#D16920114,http://wiki.jiamdiary.info/16920114
