id,class_field,name,background,phase,firstdate,lastdate,uri
E16920108,Event,나주에서의 동추,experience,multiple,1692년1월8일,1692년1월23일,http://jiamdiary.info/iri/jad#E16920108
E16920124,Event,전라우도 암행어사 이인엽의 행차,happening,multiple,1692년1월24일,1692년7월18일,http://jiamdiary.info/iri/jad#E16920124
E16920204,Event,함평 현감 사직,experience,multiple,1692년2월4일,1693년3월9일,http://jiamdiary.info/iri/jad#E16920204
E16920225,Event,해남 서원 건립,experience,multiple,1692년2월25일,1694년4월13일,http://jiamdiary.info/iri/jad#E16920225
E16920319,Event,죽도 제언 수축,experience,multiple,1692년3월19일,1692년12월27일,http://jiamdiary.info/iri/jad#E16920319
E16920328,Event,팔마장 수축(1차),experience,multiple,1692년3월28일,1693년2월20일,http://jiamdiary.info/iri/jad#E16920328
E16920419,Event,적량원 산소 석물 조성,experience,multiple,1692년4월19일,1692년12월27일,http://jiamdiary.info/iri/jad#E16920419
E16920508,Event,지방관들의 도갑사 모임,experience,multiple,1692년5월8일,1692년5월11일,http://jiamdiary.info/iri/jad#E16920508
E16920511,Event,관음사 모임,experience,multiple,1692년5월11일,1692년5월12일,http://jiamdiary.info/iri/jad#E16920511
E16920625,Event,윤성인 치죄,happening,single,1692년6월25일,1692년6월25일,http://jiamdiary.info/iri/jad#E16920625
E16920904,Event,파산 제사,experience,multiple,1692년9월4일,1692년9월16일,http://jiamdiary.info/iri/jad#E16920904
E16920920,Event,박우상의 송금 피체,happening,multiple,1692년9월20일,1692년9월29일,http://jiamdiary.info/iri/jad#E16920920
E16920929,Event,만덕사 모임(1692),experience,multiple,1692년9월29일,1692년10월1일,http://jiamdiary.info/iri/jad#E16920929
E16921106,Event,김차암과의 적부로 거래,happening,multiple,1692년11월6일,1692년12월4일,http://jiamdiary.info/iri/jad#E16921106
E16930117,Event,만덕사 모임(1693),experience,multiple,1693년1월17일,1693년1월18일,http://jiamdiary.info/iri/jad#E16930117
E16930215,Event,인천 누이의 죽음과 장례,happening,multiple,1693년2월15일,1693년6월1일,http://jiamdiary.info/iri/jad#E16930215
E16930222,Event,어머니의 환후와 임종 및 장례,happening,multiple,1693년2월22일,1693년9월16일,http://jiamdiary.info/iri/jad#E16930222
E16930305,Event,병조정랑 임명,happening,single,1693년3월5일,1693년3월5일,http://jiamdiary.info/iri/jad#E16930305
E16930306,Event,함평 대동미 유용 사건 소식,happening,multiple,1693년3월6일,1693년9월19일,http://jiamdiary.info/iri/jad#E16930306
E16930317,Event,파산 송씨묘표석 개립,experience,multiple,1693년3월17일,1693년3월27일,http://jiamdiary.info/iri/jad#E16930317
E16930319,Event,사헌부지평 임명과 사직,happening,multiple,1693년3월19일,1693년3월24일,http://jiamdiary.info/iri/jad#E16930319
E16930415,Event,양가송의 밭 매입,happening,single,1693년4월15일,1693년4월15일,http://jiamdiary.info/iri/jad#E16930415
E16930506,Event,아내의 눈병 치료,experience,multiple,1693년5월6일,1693년11월30일,http://jiamdiary.info/iri/jad#E16930506
E16930604,Event,팔산리 주민 무휼(1693),experience,single,1693년6월4일,1693년6월4일,http://jiamdiary.info/iri/jad#E16930604
E16930611,Event,팔마장 수축(2차),experience,multiple,1693년6월11일,1694년1월8일,http://jiamdiary.info/iri/jad#E16930611
E16930716,Event,이세중의 양반 행세,happening,single,1693년7월16일,1693년7월16일,http://jiamdiary.info/iri/jad#E16930716
E16930727a,Event,윤흥서의 알성시 응시,experience,multiple,1693년7월27일,1693년8월29일,http://jiamdiary.info/iri/jad#E16930727a
E16930727b,Event,표구렁 구입과 목장 이송,experience,multiple,1693년7월27일,1693년8월5일,http://jiamdiary.info/iri/jad#E16930727b
