id,class_field,name,korname,chinname,inclusion,origin,clan,sex,middname,courtesyname,nickname,alias,b_year,d_year,abode,legitimacy,succession,status,certificate,uri,url
P0001,Person,각능1(覺能),각능1,覺能,Diary,,,M,,,,,,,용천사,,,승려(僧侶),,http://jiamdiary.info/iri/jad#P0001,
P0002,Person,강갑신(姜甲申),강갑신,姜甲申,Diary,,,M,,,,,,,,,,사령(使令),,http://jiamdiary.info/iri/jad#P0002,
P0003,Person,강구장(姜九章),강구장,姜九章,Diary,,,M,,,,,,,,,,,,http://jiamdiary.info/iri/jad#P0003,
P0004,Person,강만태(康晩泰),강만태,康晩泰,Diary,,,M,,,,,,,,,,,,http://jiamdiary.info/iri/jad#P0004,
P0005,Person,강산두(姜山斗),강산두,姜山斗,Diary,,,M,,,,,,,,,,해남현감(海南縣監),,http://jiamdiary.info/iri/jad#P0005,
P0006,Person,강석규(姜錫圭),강석규,姜錫圭,Diary,,,M,,,,,,,,,,,,http://jiamdiary.info/iri/jad#P0006,
P0007,Person,강석무(姜碩武),강석무,姜碩武,Diary,,,M,,,,,,,,,,출신(出身),,http://jiamdiary.info/iri/jad#P0007,
P0008,Person,강석빈(姜碩賓),강석빈,姜碩賓,Diary,,,M,,,,,,,,,,진선군(晉善君),,http://jiamdiary.info/iri/jad#P0008,
P0009,Person,강석신(姜碩臣),강석신,姜碩臣,Diary,,,M,,,,,,,,,,사복판관(司僕判官),,http://jiamdiary.info/iri/jad#P0009,
P0010,Person,강석황(姜碩璜),강석황,姜碩璜,Diary,,,M,,,,,,,,,,,,http://jiamdiary.info/iri/jad#P0010,
P0011,Person,강선(姜銑),강선,姜銑,Diary,진주,진주강,M,자화(子和),,,,1645,1710,남소동,,,예조참의(禮曹參議),문과,http://jiamdiary.info/iri/jad#P0011,http://encykorea.aks.ac.kr/Contents/Item/E0001220
P0012,Person,강세걸(康世傑),강세걸,康世傑,Diary,,,M,,,,,,,정읍,,,군기색(軍器色),,http://jiamdiary.info/iri/jad#P0012,
P0013,Person,강심해(姜審楷),강심해,姜審楷,Diary,,,M,,,,,,,,,,중인(中人),,http://jiamdiary.info/iri/jad#P0013,
P0014,Person,강여선(姜汝善),강여선,姜汝善,Diary,,,M,,,,,,,,,,옥천면도장(玉川面都將),,http://jiamdiary.info/iri/jad#P0014,
P0015,Person,강영(姜_),강영,姜_,Diary,,,M,,,,,,,,,,,,http://jiamdiary.info/iri/jad#P0015,
P0016,Person,강오장(姜五章),강오장,姜五章,Diary,,,M,,,,,,,,,,,생원,http://jiamdiary.info/iri/jad#P0016,
P0017,Person,강우상(姜禹相),강우상,姜禹相,Diary,,,M,,,,,,,,,,,,http://jiamdiary.info/iri/jad#P0017,
P0018,Person,강준부(姜浚溥),강준부,姜浚溥,Diary,,,M,,,,,,,,,,,,http://jiamdiary.info/iri/jad#P0018,
P0020,Person,강필성(姜必誠),강필성,姜必誠,Diary,,,M,,,,,,,영암,,,,,http://jiamdiary.info/iri/jad#P0020,
P0021,Person,강현(姜_),강현,姜_,Diary,진주,진주강,M,자정(子精),백각(白閣),,,1650,1733,,,,이조참의(吏曹參議),문과,http://jiamdiary.info/iri/jad#P0021,http://encykorea.aks.ac.kr/Contents/Item/E0001481
P0022,Person,경종(景宗),경종,景宗,Diary,전주,전주이,M,휘서(輝瑞),,,李_,1688,1724,,,,왕(王),,http://jiamdiary.info/iri/jad#P0022,
P0023,Person,계건(戒建),계건,戒建,Diary,,,M,,,,,,,운주동,,,,,http://jiamdiary.info/iri/jad#P0023,
