id,class_field,name,korname,chinname,alias,kind,shape,latitude,longitude,address,uri
L001,Place,가단(可丹),가단,可丹,,단위구역,face,34.435851,126.264296,전남 진도군 의신면 가단길 44 ,http://jiamdiary.info/iri/jad#L001
L003,Place,가리사(加利寺),가리사,加利寺,,건축물,dot,,,장흥에 위치,http://jiamdiary.info/iri/jad#L003
L004,Place,가리역(加里驛),가리역,加里驛,,건축물,dot,35.132284,126.493224,전남 함평군 신광면 가덕리 159-10,http://jiamdiary.info/iri/jad#L004
L005,Place,가리포(加里浦),가리포,加里浦,,단위구역,face,34.312872,126.754915,전남 완도군 완도읍 주도길 3-1,http://jiamdiary.info/iri/jad#L005
L006,Place,가염실(可厭室),가염실,可厭室,,단위구역,face,,,괴산군 청천면에 위치,http://jiamdiary.info/iri/jad#L006
L007,Place,가좌리(可佐里),가좌리,可佐里,,단위구역,face,34.499142,126.479181,전남 해남군 화산면 고천암로 410,http://jiamdiary.info/iri/jad#L007
L008,Place,가지도(可枝島),가지도,可枝島,可枝窟,도서,face,34.745525,126.374728,전남 영암군 삼호읍 용당리 2173,http://jiamdiary.info/iri/jad#L008
L009,Place,가치(可峙),가치,可峙,가성마을,단위구역,face,34.531979,126.644315,전남 해남군 옥천면 가성길 64,http://jiamdiary.info/iri/jad#L009
L010,Place,가학치(駕鶴峙),가학치,駕鶴峙,加羅峙,도로,line,34.681397,126.618488,전남 영암군 학산면 학계리 산 94-1,http://jiamdiary.info/iri/jad#L010
L011,Place,가허루(駕虛樓),가허루,駕虛樓,,건축물,dot,34.476648,126.616364,전남 해남군 삼산면 대흥사길 400,http://jiamdiary.info/iri/jad#L011
L012,Place,간두(幹頭),간두,幹頭,,단위구역,face,34.432035,126.680418,전남 해남군 북일면 금당리 산 78,http://jiamdiary.info/iri/jad#L012
L013,Place,간두리(艮頭里),간두리,艮頭里,,단위구역,face,34.679848,126.431881,전남 해남군 산이면 덕송길 31,http://jiamdiary.info/iri/jad#L013
L014,Place,갈두(葛頭),갈두,葛頭,,단위구역,face,34.298977,126.527883,전남 해남군 송지면 땅끝마을길 55,http://jiamdiary.info/iri/jad#L014
