id,class_field,name,korname,chinname,alias,work,sex,abode,master,uri
S001,Slave,신산(申山),신산,申山,,관노,M,함평(咸平),,http://jiamdiary.info/iri/jad#S001
S002,Slave,윤직미 노(尹直美奴),윤직미 노,尹直美奴,,가노,M,,윤직미,http://jiamdiary.info/iri/jad#S002
S003,Slave,매인(每仁),매인,每仁,,마름노,M,죽도(竹島),윤이후,http://jiamdiary.info/iri/jad#S003
S004,Slave,천일(天一),천일,天一,,목수,M,,윤이후,http://jiamdiary.info/iri/jad#S004
S005,Slave,이만방 노(李晩芳奴),이만방 노,李晩芳奴,,,M,,이만방,http://jiamdiary.info/iri/jad#S005
S006,Slave,인석(仁石),인석,仁石,,아노,M,,윤이후,http://jiamdiary.info/iri/jad#S006
S007,Slave,태룡(太龍),태룡,太龍,,고직노,M,함평(咸平),,http://jiamdiary.info/iri/jad#S007
S008,Slave,일삼(一三),일삼,一三,日三,,M,,윤이구,http://jiamdiary.info/iri/jad#S008
S009,Slave,진일(進一),진일,進一,,,M,,안서익,http://jiamdiary.info/iri/jad#S009
S010,Slave,마당쇠(麻當金),마당쇠,麻當金,,,M,,윤이후,http://jiamdiary.info/iri/jad#S010
S011,Slave,일복(一卜),일복,一卜,,,M,,윤이석,http://jiamdiary.info/iri/jad#S011
S013,Slave,전부댁 노(典簿宅奴),전부댁 노,典簿宅奴,,,M,회동(會洞),윤이석,http://jiamdiary.info/iri/jad#S013
S014,Slave,윤동미 노(尹東美奴),윤동미 노,尹東美奴,,,M,,윤동미,http://jiamdiary.info/iri/jad#S014
S015,Slave,상검(尙儉),상검,尙儉,,,M,상주(尙州),윤이후,http://jiamdiary.info/iri/jad#S015
S017,Slave,예금(禮今),예금,禮今,,,F,,윤이후,http://jiamdiary.info/iri/jad#S017
S019,Slave,무옥(戊玉),무옥,戊玉,,,F,,윤이후,http://jiamdiary.info/iri/jad#S019
S021,Slave,개일(開一),개일,開一,,,M,,윤이후,http://jiamdiary.info/iri/jad#S021
S022,Slave,만홍(萬洪),만홍,萬洪,,,M,,윤이후,http://jiamdiary.info/iri/jad#S022
S023,Slave,후돌(後乭),후돌,後乭,後乭屎,,M,,윤이후,http://jiamdiary.info/iri/jad#S023
S024,Slave,이룡(二龍),이룡,二龍,,,M,연동(蓮洞),윤이후,http://jiamdiary.info/iri/jad#S024
S026,Slave,말립1(唜立),말립1,唜立,끝선,목수,M,,윤이후,http://jiamdiary.info/iri/jad#S026
S027,Slave,막내(亡乃),막내,亡乃,,목수,M,,,http://jiamdiary.info/iri/jad#S027
S030,Slave,이류 노(李瀏奴),이류 노,李瀏奴,,가노,M,,이류,http://jiamdiary.info/iri/jad#S030
S033,Slave,숙정(淑丁),숙정,淑丁,,가야금 연주,F,,윤이후,http://jiamdiary.info/iri/jad#S033
S034,Slave,석화(石花),석화,石花,,가야금 연주,F,,,http://jiamdiary.info/iri/jad#S034
S035,Slave,말금(唜金),말금,唜金,"末叱金,끝쇠",야노,M,,윤이석,http://jiamdiary.info/iri/jad#S035
S036,Slave,만립(萬立),만립,萬立,,,M,,윤이후,http://jiamdiary.info/iri/jad#S036
S037,Slave,갑금(甲金),갑금,甲金,,,M,,윤이석,http://jiamdiary.info/iri/jad#S037
S038,Slave,봉상(奉常),봉상,奉常,,,F,장성(長城),윤이후,http://jiamdiary.info/iri/jad#S038
S039,Slave,서진(西眞),서진,西眞,,,F,,윤이후,http://jiamdiary.info/iri/jad#S039
S041,Slave,천석(千石),천석,千石,,,M,,윤이후,http://jiamdiary.info/iri/jad#S041
S042,Slave,선향(善香),선향,善香,,,F,,윤이후,http://jiamdiary.info/iri/jad#S042
S043,Slave,비상(比尙),비상,比尙,,,M,,,http://jiamdiary.info/iri/jad#S043
S044,Slave,길복(吉卜),길복,吉卜,,,M,,윤직미,http://jiamdiary.info/iri/jad#S044
S047,Slave,을사(乙巳),을사,乙巳,,가노,M,,윤이후,http://jiamdiary.info/iri/jad#S047
