solarYMD,lunarYMD
1692-02-17,1692-01-01
1692-02-18,1692-01-02
1692-02-19,1692-01-03
1692-02-20,1692-01-04
1692-02-21,1692-01-05
1692-02-22,1692-01-06
1692-02-23,1692-01-07
1692-02-24,1692-01-08
1692-02-25,1692-01-09
1692-02-26,1692-01-10
1692-02-27,1692-01-11
1692-02-28,1692-01-12
1692-02-29,1692-01-13
1692-03-01,1692-01-14
1692-03-02,1692-01-15
1692-03-03,1692-01-16
1692-03-04,1692-01-17
1692-03-05,1692-01-18
1692-03-06,1692-01-19
1692-03-07,1692-01-20
1692-03-08,1692-01-21
1692-03-09,1692-01-22
1692-03-10,1692-01-23
1692-03-11,1692-01-24
1692-03-12,1692-01-25
1692-03-13,1692-01-26
1692-03-14,1692-01-27
1692-03-15,1692-01-28
1692-03-16,1692-01-29
1692-03-17,1692-01-30
1692-03-18,1692-02-01
1692-03-19,1692-02-02
1692-03-20,1692-02-03
1692-03-21,1692-02-04
1692-03-22,1692-02-05
1692-03-23,1692-02-06
1692-03-24,1692-02-07
1692-03-25,1692-02-08
1692-03-26,1692-02-09
1692-03-27,1692-02-10
1692-03-28,1692-02-11
1692-03-29,1692-02-12
1692-03-30,1692-02-13
1692-03-31,1692-02-14
1692-04-01,1692-02-15
1692-04-02,1692-02-16
1692-04-03,1692-02-17
1692-04-04,1692-02-18
1692-04-05,1692-02-19
1692-04-06,1692-02-20
1692-04-07,1692-02-21
1692-04-08,1692-02-22
1692-04-09,1692-02-23
1692-04-10,1692-02-24
1692-04-11,1692-02-25
1692-04-12,1692-02-26
1692-04-13,1692-02-27
1692-04-14,1692-02-28
1692-04-15,1692-02-29
1692-04-16,1692-03-01
1692-04-17,1692-03-02
1692-04-18,1692-03-03
1692-04-19,1692-03-04
1692-04-20,1692-03-05
1692-04-21,1692-03-06
1692-04-22,1692-03-07
1692-04-23,1692-03-08
1692-04-24,1692-03-09
1692-04-25,1692-03-10
1692-04-26,1692-03-11
1692-04-27,1692-03-12
1692-04-28,1692-03-13
1692-04-29,1692-03-14
1692-04-30,1692-03-15
1692-05-01,1692-03-16
1692-05-02,1692-03-17
1692-05-03,1692-03-18
1692-05-04,1692-03-19
1692-05-05,1692-03-20
1692-05-06,1692-03-21
1692-05-07,1692-03-22
1692-05-08,1692-03-23
1692-05-09,1692-03-24
1692-05-10,1692-03-25
1692-05-11,1692-03-26
1692-05-12,1692-03-27
1692-05-13,1692-03-28
1692-05-14,1692-03-29
1692-05-15,1692-03-30
1692-05-16,1692-04-01
1692-05-17,1692-04-02
1692-05-18,1692-04-03
1692-05-19,1692-04-04
1692-05-20,1692-04-05
1692-05-21,1692-04-06
1692-05-22,1692-04-07
1692-05-23,1692-04-08
1692-05-24,1692-04-09
1692-05-25,1692-04-10
1692-05-26,1692-04-11
1692-05-27,1692-04-12
1692-05-28,1692-04-13
1692-05-29,1692-04-14
1692-05-30,1692-04-15
1692-05-31,1692-04-16
1692-06-01,1692-04-17
1692-06-02,1692-04-18
1692-06-03,1692-04-19
1692-06-04,1692-04-20
1692-06-05,1692-04-21
1692-06-06,1692-04-22
1692-06-07,1692-04-23
1692-06-08,1692-04-24
1692-06-09,1692-04-25
1692-06-10,1692-04-26
1692-06-11,1692-04-27
1692-06-12,1692-04-28
1692-06-13,1692-04-29
1692-06-14,1692-04-30
1692-06-15,1692-05-01
1692-06-16,1692-05-02
1692-06-17,1692-05-03
1692-06-18,1692-05-04
1692-06-19,1692-05-05
1692-06-20,1692-05-06
1692-06-21,1692-05-07
1692-06-22,1692-05-08
1692-06-23,1692-05-09
1692-06-24,1692-05-10
1692-06-25,1692-05-11
1692-06-26,1692-05-12
1692-06-27,1692-05-13
1692-06-28,1692-05-14
1692-06-29,1692-05-15
1692-06-30,1692-05-16
1692-07-01,1692-05-17
1692-07-02,1692-05-18
1692-07-03,1692-05-19
1692-07-04,1692-05-20
1692-07-05,1692-05-21
1692-07-06,1692-05-22
1692-07-07,1692-05-23
1692-07-08,1692-05-24
1692-07-09,1692-05-25
1692-07-10,1692-05-26
1692-07-11,1692-05-27
1692-07-12,1692-05-28
1692-07-13,1692-05-29
1692-07-14,1692-06-01
1692-07-15,1692-06-02
1692-07-16,1692-06-03
1692-07-17,1692-06-04
1692-07-18,1692-06-05
1692-07-19,1692-06-06
1692-07-20,1692-06-07
1692-07-21,1692-06-08
1692-07-22,1692-06-09
1692-07-23,1692-06-10
1692-07-24,1692-06-11
1692-07-25,1692-06-12
1692-07-26,1692-06-13
1692-07-27,1692-06-14
1692-07-28,1692-06-15
1692-07-29,1692-06-16
1692-07-30,1692-06-17
1692-07-31,1692-06-18
1692-08-01,1692-06-19
1692-08-02,1692-06-20
1692-08-03,1692-06-21
1692-08-04,1692-06-22
1692-08-05,1692-06-23
1692-08-06,1692-06-24
1692-08-07,1692-06-25
1692-08-08,1692-06-26
1692-08-09,1692-06-27
1692-08-10,1692-06-28
1692-08-11,1692-06-29
1692-08-12,1692-07-01
1692-08-13,1692-07-02
1692-08-14,1692-07-03
1692-08-15,1692-07-04
1692-08-16,1692-07-05
1692-08-17,1692-07-06
1692-08-18,1692-07-07
1692-08-19,1692-07-08
1692-08-20,1692-07-09
1692-08-21,1692-07-10
1692-08-22,1692-07-11
1692-08-23,1692-07-12
1692-08-24,1692-07-13
1692-08-25,1692-07-14
1692-08-26,1692-07-15
1692-08-27,1692-07-16
1692-08-28,1692-07-17
1692-08-29,1692-07-18
1692-08-30,1692-07-19
1692-08-31,1692-07-20
1692-09-01,1692-07-21
1692-09-02,1692-07-22
1692-09-03,1692-07-23
1692-09-04,1692-07-24
1692-09-05,1692-07-25
1692-09-06,1692-07-26
1692-09-07,1692-07-27
1692-09-08,1692-07-28
1692-09-09,1692-07-29
1692-09-10,1692-07-30
1692-09-11,1692-08-01
1692-09-12,1692-08-02
1692-09-13,1692-08-03
1692-09-14,1692-08-04
1692-09-15,1692-08-05
1692-09-16,1692-08-06
1692-09-17,1692-08-07
1692-09-18,1692-08-08
1692-09-19,1692-08-09
1692-09-20,1692-08-10
1692-09-21,1692-08-11
1692-09-22,1692-08-12
1692-09-23,1692-08-13
1692-09-24,1692-08-14
1692-09-25,1692-08-15
1692-09-26,1692-08-16
1692-09-27,1692-08-17
1692-09-28,1692-08-18
1692-09-29,1692-08-19
1692-09-30,1692-08-20
1692-10-01,1692-08-21
1692-10-02,1692-08-22
1692-10-03,1692-08-23
1692-10-04,1692-08-24
1692-10-05,1692-08-25
1692-10-06,1692-08-26
1692-10-07,1692-08-27
1692-10-08,1692-08-28
1692-10-09,1692-08-29
1692-10-10,1692-09-01
1692-10-11,1692-09-02
1692-10-12,1692-09-03
1692-10-13,1692-09-04
1692-10-14,1692-09-05
1692-10-15,1692-09-06
1692-10-16,1692-09-07
1692-10-17,1692-09-08
1692-10-18,1692-09-09
1692-10-19,1692-09-10
1692-10-20,1692-09-11
1692-10-21,1692-09-12
1692-10-22,1692-09-13
1692-10-23,1692-09-14
1692-10-24,1692-09-15
1692-10-25,1692-09-16
1692-10-26,1692-09-17
1692-10-27,1692-09-18
1692-10-28,1692-09-19
1692-10-29,1692-09-20
1692-10-30,1692-09-21
1692-10-31,1692-09-22
1692-11-01,1692-09-23
1692-11-02,1692-09-24
1692-11-03,1692-09-25
1692-11-04,1692-09-26
1692-11-05,1692-09-27
1692-11-06,1692-09-28
1692-11-07,1692-09-29
1692-11-08,1692-10-01
1692-11-09,1692-10-02
1692-11-10,1692-10-03
1692-11-11,1692-10-04
1692-11-12,1692-10-05
1692-11-13,1692-10-06
1692-11-14,1692-10-07
1692-11-15,1692-10-08
1692-11-16,1692-10-09
1692-11-17,1692-10-10
1692-11-18,1692-10-11
1692-11-19,1692-10-12
1692-11-20,1692-10-13
1692-11-21,1692-10-14
1692-11-22,1692-10-15
1692-11-23,1692-10-16
1692-11-24,1692-10-17
1692-11-25,1692-10-18
1692-11-26,1692-10-19
1692-11-27,1692-10-20
1692-11-28,1692-10-21
1692-11-29,1692-10-22
1692-11-30,1692-10-23
1692-12-01,1692-10-24
1692-12-02,1692-10-25
1692-12-03,1692-10-26
1692-12-04,1692-10-27
1692-12-05,1692-10-28
1692-12-06,1692-10-29
1692-12-07,1692-10-30
1692-12-08,1692-11-01
1692-12-09,1692-11-02
1692-12-10,1692-11-03
1692-12-11,1692-11-04
1692-12-12,1692-11-05
1692-12-13,1692-11-06
1692-12-14,1692-11-07
1692-12-15,1692-11-08
1692-12-16,1692-11-09
1692-12-17,1692-11-10
1692-12-18,1692-11-11
1692-12-19,1692-11-12
1692-12-20,1692-11-13
1692-12-21,1692-11-14
1692-12-22,1692-11-15
1692-12-23,1692-11-16
1692-12-24,1692-11-17
1692-12-25,1692-11-18
1692-12-26,1692-11-19
1692-12-27,1692-11-20
1692-12-28,1692-11-21
1692-12-29,1692-11-22
1692-12-30,1692-11-23
1692-12-31,1692-11-24
1693-01-01,1692-11-25
1693-01-02,1692-11-26
1693-01-03,1692-11-27
1693-01-04,1692-11-28
1693-01-05,1692-11-29
1693-01-06,1692-12-01
1693-01-07,1692-12-02
1693-01-08,1692-12-03
1693-01-09,1692-12-04
1693-01-10,1692-12-05
1693-01-11,1692-12-06
1693-01-12,1692-12-07
1693-01-13,1692-12-08
1693-01-14,1692-12-09
1693-01-15,1692-12-10
1693-01-16,1692-12-11
1693-01-17,1692-12-12
1693-01-18,1692-12-13
1693-01-19,1692-12-14
1693-01-20,1692-12-15
1693-01-21,1692-12-16
1693-01-22,1692-12-17
1693-01-23,1692-12-18
1693-01-24,1692-12-19
1693-01-25,1692-12-20
1693-01-26,1692-12-21
1693-01-27,1692-12-22
1693-01-28,1692-12-23
1693-01-29,1692-12-24
1693-01-30,1692-12-25
1693-01-31,1692-12-26
1693-02-01,1692-12-27
1693-02-02,1692-12-28
1693-02-03,1692-12-29
1693-02-04,1692-12-30
1693-02-05,1693-01-01
1693-02-06,1693-01-02
1693-02-07,1693-01-03
1693-02-08,1693-01-04
1693-02-09,1693-01-05
1693-02-10,1693-01-06
1693-02-11,1693-01-07
1693-02-12,1693-01-08
1693-02-13,1693-01-09
1693-02-14,1693-01-10
1693-02-15,1693-01-11
1693-02-16,1693-01-12
1693-02-17,1693-01-13
1693-02-18,1693-01-14
1693-02-19,1693-01-15
1693-02-20,1693-01-16
1693-02-21,1693-01-17
1693-02-22,1693-01-18
1693-02-23,1693-01-19
1693-02-24,1693-01-20
1693-02-25,1693-01-21
1693-02-26,1693-01-22
1693-02-27,1693-01-23
1693-02-28,1693-01-24
